,type,start,end,time(s)
700_65_2,TANDEM,169,402,0.7260308265686035
700_65_3,TANDEM,221,373,0.6046295166015625
700_65_4,TANDEM,233,353,0.44290947914123535
700_70_0,TRANSLOCATION,314,0,0.5620622634887695
700_70_1,INSERTION_BIGGER,412,527,0.5425698757171631
700_70_2,TANDEM,381,524,0.46521520614624023
700_70_3,TANDEM,226,429,0.7297699451446533
700_70_4,TANDEM,439,547,0.5832474231719971
700_75_0,INSERTION_BIGGER,340,438,0.5154721736907959
700_75_1,INSERTION_BIGGER,366,401,0.44368743896484375
700_75_2,TANDEM,414,519,0.48066139221191406
700_75_3,TANDEM,278,479,0.5833339691162109
700_75_4,INSERTION_BIGGER,394,468,0.410412073135376
800_30_0,TANDEM,186,239,0.8252696990966797
800_30_1,TANDEM,98,192,1.0416011810302734
800_30_2,TRANSLOCATION,534,0,0.9724225997924805
800_30_3,TANDEM,352,502,1.1049470901489258
800_30_4,TANDEM,108,364,1.3265025615692139
800_35_0,TANDEM,400,568,1.1386172771453857
800_35_1,TANDEM,142,244,1.1044375896453857
800_35_2,TRANSLOCATION,317,0,0.8292171955108643
800_35_3,TANDEM,333,549,1.3908751010894775
800_35_4,TRANSLOCATION,469,0,0.9365749359130859
800_40_0,TANDEM,145,202,0.6890413761138916
800_40_1,TANDEM,190,265,0.71234130859375
800_40_2,TANDEM,278,468,0.8754324913024902
800_40_3,TANDEM,286,368,0.6856944561004639
800_40_4,TRANSLOCATION,579,0,0.8123555183410645
800_45_0,TANDEM,183,387,1.074064016342163
800_45_1,TANDEM,569,639,0.8717694282531738
800_45_2,TANDEM,322,408,0.6778883934020996
800_45_3,TANDEM,446,561,0.6728630065917969
800_45_4,TRANSLOCATION,630,0,0.81815505027771
800_50_0,TRANSLOCATION,539,0,0.7650887966156006
800_50_1,INSERTION_BIGGER,133,190,0.7600083351135254
800_50_2,TANDEM,547,641,0.6969220638275146
800_50_3,TANDEM,147,270,0.7151682376861572
800_50_4,TRANSLOCATION,318,0,0.8141705989837646
800_55_0,TANDEM,222,444,0.7348754405975342
800_55_1,TANDEM,350,481,0.5719475746154785
800_55_2,TANDEM,228,344,0.7042193412780762
800_55_3,TANDEM,267,521,0.921201229095459
800_55_4,TANDEM,248,501,0.6748449802398682
800_60_0,INSERTION_BIGGER,450,519,0.563828706741333
800_60_1,TANDEM,257,374,0.5374882221221924
800_60_2,TANDEM,336,559,0.8639612197875977
800_60_3,TANDEM,467,616,0.7360069751739502
800_60_4,TANDEM,244,426,0.8385202884674072
800_65_0,TRANSLOCATION,598,0,0.5797927379608154
800_65_1,TANDEM,331,542,0.5961575508117676
800_65_2,INSERTION_BIGGER,404,504,0.6766796112060547
800_65_3,TANDEM,277,427,0.7271649837493896
800_65_4,INSERTION_BIGGER,385,435,0.452484130859375
800_70_0,TANDEM,291,516,0.6013121604919434
800_70_1,INSERTION_BIGGER,233,318,0.6591978073120117
800_70_2,TANDEM,204,348,0.7463345527648926
800_70_3,TANDEM,261,443,0.7765824794769287
800_70_4,TANDEM,268,459,0.5142710208892822
800_75_0,TRANSLOCATION,555,0,0.4714486598968506
800_75_1,TANDEM,289,472,0.6499142646789551
800_75_2,TANDEM,213,464,0.6920886039733887
800_75_3,TRANSLOCATION,470,0,0.5352976322174072
800_75_4,TANDEM,393,588,0.6000280380249023
900_30_0,TRANSLOCATION,191,0,1.2038242816925049
900_30_1,TANDEM,324,532,1.7329599857330322
900_30_2,TANDEM,483,721,1.5265631675720215
900_30_3,TRANSLOCATION,219,0,1.4412710666656494
900_30_4,TANDEM,445,706,1.5047085285186768
900_35_0,INSERTION_BIGGER,546,579,1.2381720542907715
900_35_1,TANDEM,481,702,1.4034392833709717
900_35_2,TRANSLOCATION,576,0,1.114058256149292
900_35_3,INSERTION_BIGGER,394,416,1.0513992309570312
900_35_4,TANDEM,173,419,1.2560396194458008
900_40_0,TANDEM,330,459,0.8849680423736572
900_40_1,TRANSLOCATION,585,0,0.979912281036377
900_40_2,TANDEM,266,482,1.3887393474578857
900_40_3,TANDEM,601,789,1.3256163597106934
900_40_4,TANDEM,450,606,1.0659992694854736
900_45_0,TANDEM,193,444,1.2646138668060303
900_45_1,TRANSLOCATION,525,0,0.9969913959503174
900_45_2,TANDEM,308,587,1.0509095191955566
900_45_3,TANDEM,504,598,0.7021706104278564
900_45_4,TANDEM,319,449,0.8801212310791016
900_50_0,TANDEM,491,622,0.7901284694671631
900_50_1,TANDEM,164,428,0.8818082809448242
900_50_2,INSERTION_BIGGER,291,353,0.7896230220794678
900_50_3,TANDEM,249,414,0.8274288177490234
900_50_4,TRANSLOCATION,393,0,0.6879961490631104
900_55_0,TANDEM,467,707,0.8793895244598389
900_55_1,TANDEM,325,567,0.9791536331176758
900_55_2,TANDEM,537,611,0.8947160243988037
900_55_3,TRANSLOCATION,564,0,0.6827666759490967
900_55_4,INSERTION_BIGGER,457,510,0.8292005062103271
900_60_0,TANDEM,508,687,0.9054369926452637
900_60_1,INSERTION_BIGGER,481,573,0.6737704277038574
900_60_2,TANDEM,318,502,0.7268073558807373
900_60_3,TANDEM,243,485,0.8645815849304199
900_60_4,TANDEM,322,529,0.7425317764282227
900_65_0,INSERTION_BIGGER,577,640,0.7527539730072021
900_65_1,TANDEM,191,385,0.7821509838104248
900_65_2,INSERTION_BIGGER,234,257,0.7370526790618896
900_65_3,TANDEM,510,679,0.83182692527771
900_65_4,TANDEM,420,603,0.942310094833374
900_70_0,TANDEM,383,614,0.7764866352081299
900_70_1,TANDEM,244,350,0.8767366409301758
900_70_2,INSERTION_BIGGER,199,274,0.5427048206329346
900_70_3,TANDEM,276,503,0.6053519248962402
900_70_4,TANDEM,282,419,0.9899194240570068
900_75_0,TANDEM,427,510,0.722862720489502
900_75_1,TANDEM,446,609,0.9574658870697021
900_75_2,TANDEM,258,494,0.831331729888916
900_75_3,TANDEM,433,722,0.7330374717712402
900_75_4,TANDEM,468,633,0.8319540023803711
1000_30_0,TRANSLOCATION,517,0,1.8286054134368896
1000_30_1,TANDEM,500,581,1.8082330226898193
1000_30_2,INSERTION_BIGGER,639,698,1.3024227619171143
1000_30_3,TANDEM,657,895,1.642632246017456
1000_30_4,TANDEM,561,884,1.7479467391967773
1000_35_0,TANDEM,658,829,1.6267900466918945
1000_35_1,TANDEM,438,602,1.8118760585784912
1000_35_2,TANDEM,107,306,1.623999834060669
1000_35_3,INSERTION_BIGGER,543,583,1.315183401107788
1000_35_4,TRANSLOCATION,189,0,1.0256247520446777
1000_40_0,TANDEM,215,437,1.2011065483093262
1000_40_1,TANDEM,197,516,1.1023180484771729
1000_40_2,TRANSLOCATION,617,0,1.1545791625976562
1000_40_3,TANDEM,248,488,1.1528778076171875
1000_40_4,TANDEM,523,753,1.3842625617980957
1000_45_0,INSERTION_BIGGER,215,260,0.8862574100494385
1000_45_1,INSERTION_BIGGER,608,672,1.4672536849975586
1000_45_2,INSERTION_BIGGER,299,349,1.2062451839447021
1000_45_3,TANDEM,505,804,1.0950610637664795
1000_45_4,TANDEM,458,540,1.1898589134216309
1000_50_0,INSERTION_BIGGER,271,370,0.9889981746673584
1000_50_1,INSERTION_BIGGER,228,289,0.9849610328674316
1000_50_2,TANDEM,541,757,1.3118629455566406
1000_50_3,TRANSLOCATION,747,0,0.7947719097137451
1000_50_4,TRANSLOCATION,251,0,0.8958327770233154
1000_55_0,TANDEM,371,669,0.9843888282775879
1000_55_1,TRANSLOCATION,471,0,0.7569172382354736
1000_55_2,TANDEM,289,541,0.901069164276123
1000_55_3,TANDEM,267,566,1.4651241302490234
1000_55_4,TANDEM,619,744,0.8359334468841553
1000_60_0,INSERTION_BIGGER,540,644,1.2716209888458252
1000_60_1,TANDEM,507,665,1.468224048614502
1000_60_2,INSERTION_BIGGER,632,704,0.9569478034973145
1000_60_3,TANDEM,501,640,0.8460874557495117
1000_60_4,TANDEM,371,490,0.8889608383178711
1000_65_0,TRANSLOCATION,227,0,0.7821254730224609
1000_65_1,TRANSLOCATION,298,0,0.7105040550231934
1000_65_2,INSERTION_BIGGER,521,578,1.1378488540649414
1000_65_3,TANDEM,289,600,1.0543153285980225
1000_65_4,TANDEM,273,516,1.247199296951294
1000_70_0,TANDEM,447,553,1.2299830913543701
1000_70_1,TRANSLOCATION,753,0,0.7777457237243652
1000_70_2,INSERTION_BIGGER,427,467,0.8854842185974121
1000_70_3,TANDEM,542,778,0.7650682926177979
1000_70_4,TANDEM,227,520,1.007042646408081
1000_75_0,TANDEM,355,488,0.6670641899108887
1000_75_1,TANDEM,393,636,0.7451026439666748
1000_75_2,TRANSLOCATION,664,0,0.7299106121063232
1000_75_3,INSERTION_BIGGER,332,391,0.7111287117004395
1000_75_4,INSERTION_BIGGER,547,623,0.8275980949401855
1100_30_0,TANDEM,337,606,1.9365031719207764
1100_30_1,TANDEM,578,740,1.6719846725463867
1100_30_2,TRANSLOCATION,261,0,1.711076259613037
1100_30_3,TRANSLOCATION,847,0,1.3531532287597656
1100_30_4,TANDEM,362,531,1.7512874603271484
1100_35_0,TRANSLOCATION,787,0,1.6861319541931152
1100_35_1,TANDEM,168,447,1.9993860721588135
1100_35_2,TANDEM,457,614,1.2597925662994385
1100_35_3,TANDEM,148,405,1.3897507190704346
1100_35_4,TANDEM,820,926,1.5102994441986084
1100_40_0,TANDEM,765,898,1.1848139762878418
1100_40_1,TRANSLOCATION,671,0,1.0892138481140137
1100_40_2,TANDEM,1100,1100,1.6858270168304443
1100_40_3,TANDEM,186,408,1.2480928897857666
1100_40_4,TANDEM,602,665,1.4528918266296387
1100_45_0,TANDEM,280,371,1.0243239402770996
1100_45_1,TANDEM,638,924,1.1880555152893066
1100_45_2,TRANSLOCATION,598,0,1.4749925136566162
1100_45_3,INSERTION_BIGGER,374,440,1.3274507522583008
1100_45_4,TANDEM,349,573,1.1729168891906738
1100_50_0,TANDEM,301,589,1.850224494934082
1100_50_1,TANDEM,532,761,1.334965705871582
1100_50_2,TANDEM,446,544,0.9844086170196533
1100_50_3,INSERTION_BIGGER,325,383,0.8954932689666748
1100_50_4,TANDEM,563,869,1.3760480880737305
1100_55_0,TANDEM,563,892,1.5011529922485352
1100_55_1,INSERTION_BIGGER,407,469,1.3813121318817139
1100_55_2,TANDEM,494,788,1.698167085647583
1100_55_3,TANDEM,334,644,1.442065715789795
1100_55_4,TANDEM,356,492,0.9736859798431396
1100_60_0,TANDEM,555,749,1.5564227104187012
1100_60_1,TANDEM,223,484,1.3908586502075195
1100_60_2,TANDEM,693,849,1.0825707912445068
1100_60_3,TANDEM,544,885,1.4862616062164307
1100_60_4,TANDEM,535,793,1.3520939350128174
1100_65_0,TANDEM,207,561,1.269169569015503
1100_65_1,TRANSLOCATION,730,0,1.0018348693847656
1100_65_2,TANDEM,278,525,0.8837180137634277
1100_65_3,TANDEM,252,418,1.0966417789459229
1100_65_4,INSERTION_BIGGER,336,454,0.7886819839477539
1100_70_0,TANDEM,609,845,1.4098093509674072
1100_70_1,TANDEM,518,681,0.8207330703735352
1100_70_2,TANDEM,261,619,1.4630699157714844
1100_70_3,TANDEM,694,772,1.0730376243591309
1100_70_4,INSERTION_BIGGER,521,611,1.2219293117523193
1100_75_0,TANDEM,625,738,1.1949617862701416
1100_75_1,TANDEM,370,492,0.8069489002227783
1100_75_2,TANDEM,487,725,0.8184716701507568
1100_75_3,TRANSLOCATION,740,0,0.7708837985992432
1100_75_4,INSERTION_BIGGER,728,780,0.8851284980773926
1200_30_0,TANDEM,477,616,2.4042553901672363
1200_30_1,TANDEM,959,1096,1.5561528205871582
1200_30_2,TANDEM,528,819,2.141817092895508
1200_30_3,TRANSLOCATION,623,0,1.7602207660675049
1200_30_4,TANDEM,114,403,2.001279830932617
1200_35_0,INSERTION_BIGGER,328,375,1.3296632766723633
1200_35_1,TANDEM,690,881,1.6987345218658447
1200_35_2,TANDEM,175,562,1.980194330215454
1200_35_3,TANDEM,456,615,1.6205344200134277
1200_35_4,TANDEM,174,573,2.1004199981689453
1200_40_0,TRANSLOCATION,280,0,1.129925012588501
1200_40_1,INSERTION_BIGGER,431,473,1.763573408126831
1200_40_2,TANDEM,170,277,1.160926342010498
1200_40_3,TANDEM,608,793,1.5221118927001953
1200_40_4,TRANSLOCATION,193,0,1.4559295177459717
1200_45_0,INSERTION_BIGGER,442,567,1.33565092086792
1200_45_1,TANDEM,387,700,1.5557031631469727
1200_45_2,TANDEM,609,1011,1.9978022575378418
1200_45_3,TANDEM,633,750,1.800652265548706
1200_45_4,TANDEM,329,651,1.715954065322876
1200_50_0,TRANSLOCATION,256,0,1.3980345726013184
1200_50_1,INSERTION_BIGGER,787,881,1.4071249961853027
1200_50_2,INSERTION_BIGGER,902,967,1.1059331893920898
1200_50_3,TRANSLOCATION,611,0,1.5015850067138672
1200_50_4,TANDEM,345,502,1.1821329593658447
1200_55_0,TANDEM,684,903,1.3393275737762451
1200_55_1,TRANSLOCATION,814,0,1.164313793182373
1200_55_2,TANDEM,439,800,2.13332462310791
1200_55_3,TRANSLOCATION,640,0,1.252028465270996
1200_55_4,TANDEM,429,626,1.6530907154083252
1200_60_0,INSERTION_BIGGER,552,671,1.1700797080993652
1200_60_1,TANDEM,383,773,1.2609858512878418
1200_60_2,TANDEM,278,585,1.3531394004821777
1200_60_3,INSERTION_BIGGER,788,932,1.350801944732666
1200_60_4,TANDEM,317,684,1.5354726314544678
1200_65_0,TANDEM,390,696,1.5217382907867432
1200_65_1,INSERTION_BIGGER,662,811,1.2183253765106201
1200_65_2,INSERTION_BIGGER,678,813,1.4267675876617432
1200_65_3,TANDEM,450,745,1.2589585781097412
1200_65_4,TANDEM,229,426,1.0454916954040527
1200_70_0,TANDEM,619,872,1.2280981540679932
1200_70_1,TANDEM,318,706,1.2787561416625977
1200_70_2,TRANSLOCATION,640,0,1.0462846755981445
1200_70_3,TANDEM,319,590,0.9880783557891846
1200_70_4,INSERTION_BIGGER,459,572,1.40907883644104
1200_75_0,TRANSLOCATION,685,0,0.9442422389984131
1200_75_1,TANDEM,379,722,1.400033712387085
1200_75_2,INSERTION_BIGGER,267,396,0.8817954063415527
1200_75_3,TANDEM,277,551,1.2288024425506592
1200_75_4,TANDEM,606,960,1.3008923530578613
1300_30_0,TRANSLOCATION,857,0,2.163222074508667
1300_30_1,TRANSLOCATION,974,0,2.5339956283569336
1300_30_2,TANDEM,256,667,2.8346264362335205
1300_30_3,TRANSLOCATION,1013,0,2.211963176727295
1300_30_4,TANDEM,105,364,3.0049667358398438
1300_35_0,TANDEM,484,868,2.0010149478912354
1300_35_1,INSERTION_BIGGER,486,567,1.6937785148620605
1300_35_2,TRANSLOCATION,295,0,1.6986229419708252
1300_35_3,TANDEM,815,1030,2.320967197418213
1300_35_4,TANDEM,806,1036,2.141275405883789
1300_40_0,TRANSLOCATION,882,0,1.4940204620361328
1300_40_1,TANDEM,443,745,1.63523530960083
1300_40_2,TANDEM,351,597,1.4128246307373047
1300_40_3,INSERTION_BIGGER,286,352,1.9299428462982178
1300_40_4,TANDEM,355,757,1.5791168212890625
1300_45_0,TANDEM,746,805,1.7039012908935547
1300_45_1,INSERTION_BIGGER,887,945,1.395928144454956
1300_45_2,TANDEM,679,910,1.5844526290893555
1300_45_3,TANDEM,211,384,1.3310184478759766
1300_45_4,INSERTION_BIGGER,876,921,1.6993045806884766
1300_50_0,TANDEM,304,644,1.8887910842895508
1300_50_1,TANDEM,623,882,1.639296531677246
1300_50_2,TANDEM,354,592,1.6621601581573486
1300_50_3,INSERTION_BIGGER,923,991,1.556145429611206
1300_50_4,TANDEM,589,877,1.569808006286621
1300_55_0,TANDEM,213,406,1.9544928073883057
1300_55_1,TANDEM,693,914,1.3444628715515137
1300_55_2,TANDEM,529,698,1.688093662261963
1300_55_3,INSERTION_BIGGER,735,781,1.083909034729004
1300_55_4,TANDEM,714,1017,1.676861047744751
1300_60_0,TANDEM,458,677,1.6330845355987549
1300_60_1,TANDEM,501,711,1.5936164855957031
1300_60_2,TANDEM,778,1041,1.4445416927337646
1300_60_3,TANDEM,379,644,1.72450852394104
1300_60_4,TANDEM,648,888,1.5947058200836182
1300_65_0,TANDEM,346,689,1.2086937427520752
1300_65_1,TANDEM,324,653,1.4579243659973145
1300_65_2,TRANSLOCATION,450,0,1.2681457996368408
1300_65_3,TANDEM,767,941,1.1574738025665283
1300_65_4,TANDEM,358,730,1.5615148544311523
1300_70_0,TANDEM,384,701,1.26605224609375
1300_70_1,INSERTION_BIGGER,377,498,1.5287764072418213
1300_70_2,INSERTION_BIGGER,606,715,1.353531837463379
1300_70_3,TRANSLOCATION,293,0,1.1060044765472412
1300_70_4,INSERTION_BIGGER,370,476,1.3008055686950684
1300_75_0,TANDEM,581,819,1.5611703395843506
1300_75_1,TRANSLOCATION,612,0,1.5298612117767334
1300_75_2,TANDEM,585,1004,1.215162992477417
1300_75_3,TANDEM,613,903,1.2466578483581543
1300_75_4,TANDEM,550,973,1.4914071559906006
1400_30_0,TRANSLOCATION,529,0,2.321967840194702
1400_30_1,INSERTION_BIGGER,575,628,2.4859707355499268
1400_30_2,TANDEM,756,878,3.2696735858917236
1400_30_3,TANDEM,570,690,2.3450543880462646
1400_30_4,TANDEM,256,430,2.502041816711426
1400_35_0,INSERTION_BIGGER,1167,1247,2.333425760269165
1400_35_1,TANDEM,718,869,1.991955280303955
1400_35_2,TANDEM,785,961,2.264998197555542
1400_35_3,TANDEM,206,628,2.834111452102661
1400_35_4,TANDEM,1056,1199,1.944162368774414
1400_40_0,TANDEM,1021,1202,2.467495918273926
1400_40_1,INSERTION_BIGGER,669,762,2.2903389930725098
1400_40_2,TANDEM,584,818,2.3015573024749756
1400_40_3,TANDEM,404,732,2.044421911239624
1400_40_4,TANDEM,394,552,1.7310283184051514
1400_45_0,TRANSLOCATION,576,0,1.4219603538513184
1400_45_1,TANDEM,470,717,1.653024673461914
1400_45_2,TRANSLOCATION,697,0,1.8103573322296143
1400_45_3,INSERTION_BIGGER,1136,1177,1.6534292697906494
1400_45_4,TRANSLOCATION,195,0,2.1430766582489014
1400_50_0,TANDEM,723,907,1.7858188152313232
1400_50_1,TANDEM,179,561,1.939206600189209
1400_50_2,TANDEM,295,600,1.6893186569213867
1400_50_3,INSERTION_BIGGER,686,780,1.4961280822753906
1400_50_4,TANDEM,436,790,2.1602585315704346
1400_55_0,TANDEM,816,930,2.094301462173462
1400_55_1,TANDEM,585,880,1.543529987335205
1400_55_2,TANDEM,608,1054,2.214527130126953
1400_55_3,TANDEM,340,652,1.654454231262207
1400_55_4,TANDEM,503,923,1.7587158679962158
1400_60_0,TANDEM,601,890,1.867084264755249
1400_60_1,TANDEM,298,626,2.3391306400299072
1400_60_2,INSERTION_BIGGER,880,952,1.2127048969268799
1400_60_3,TANDEM,598,996,1.6031701564788818
1400_60_4,TANDEM,564,981,1.6892542839050293
1400_65_0,TANDEM,341,667,1.7606980800628662
1400_65_1,INSERTION_BIGGER,526,636,1.2899930477142334
1400_65_2,TANDEM,340,612,1.8238165378570557
1400_65_3,TANDEM,391,793,1.350576639175415
1400_65_4,TANDEM,517,700,1.2536301612854004
1400_70_0,TANDEM,698,1014,1.4335887432098389
1400_70_1,TANDEM,546,914,1.3943305015563965
1400_70_2,INSERTION_BIGGER,888,1031,1.1655786037445068
1400_70_3,TRANSLOCATION,883,0,1.4708194732666016
1400_70_4,TANDEM,582,738,1.7091076374053955
1400_75_0,TANDEM,493,734,1.9218554496765137
1400_75_1,INSERTION_BIGGER,657,896,1.3729028701782227
1400_75_2,TANDEM,415,791,1.4929540157318115
1400_75_3,TANDEM,464,817,1.8549389839172363
1400_75_4,INSERTION_BIGGER,682,911,2.030442237854004
1500_30_0,TANDEM,636,1066,3.2640697956085205
1500_30_1,TANDEM,935,1260,3.088216543197632
1500_30_2,TANDEM,1123,1298,2.9606783390045166
1500_30_3,TRANSLOCATION,1054,0,2.3261635303497314
1500_30_4,TANDEM,391,539,2.191798210144043
1500_35_0,TANDEM,545,820,2.705331325531006
1500_35_1,TANDEM,337,717,2.7669460773468018
1500_35_2,TANDEM,795,1245,2.636335849761963
1500_35_3,TANDEM,564,949,2.6181576251983643
1500_35_4,TANDEM,772,1044,2.0114705562591553
1500_40_0,INSERTION_BIGGER,849,973,1.8930373191833496
1500_40_1,TANDEM,323,483,1.9692256450653076
1500_40_2,TANDEM,510,995,3.2914817333221436
1500_40_3,INSERTION_BIGGER,557,611,1.6803743839263916
