,real_type,real_start,real_end,read_count,var_size,type,start,end,time(s)
600_35_2,INVERSION,509,698,90,189,TRANSLOCATION,510,0,0.5210356712341309
600_35_3,INVERSION,219,359,99,140,INVERSION,219,358,0.578655481338501
600_35_4,INVERSION,275,428,132,153,INVERSION,276,426,0.7792389392852783
600_40_0,INVERSION,492,578,105,86,TRANSLOCATION,492,0,0.6380977630615234
600_40_1,INVERSION,375,453,75,78,INVERSION,366,452,0.4617431163787842
600_40_2,INVERSION,130,233,72,103,INVERSION,130,232,0.4560868740081787
600_40_3,INVERSION,506,680,65,174,TRANSLOCATION,507,0,0.39609265327453613
600_40_4,INVERSION,467,587,77,120,TRANSLOCATION,467,0,0.470717191696167
600_45_0,INVERSION,293,456,94,163,INVERSION,293,455,0.5989506244659424
600_45_1,INVERSION,485,592,121,107,TRANSLOCATION,485,0,0.7683897018432617
600_45_2,INVERSION,133,208,73,75,INVERSION,134,207,0.4719886779785156
600_45_3,INVERSION,161,249,62,88,INVERSION,162,247,0.3894951343536377
600_45_4,INVERSION,195,299,59,104,TRANSLOCATION,297,0,0.38310790061950684
600_50_0,INVERSION,372,565,73,193,TRANSLOCATION,372,0,0.481304407119751
600_50_1,INVERSION,210,349,57,139,TRANSLOCATION,210,0,0.3747696876525879
600_50_2,INVERSION,313,415,53,102,INVERSION,313,414,0.34981441497802734
600_50_3,INVERSION,318,364,59,46,INVERSION,307,363,0.39089250564575195
600_50_4,INVERSION,93,253,94,160,INVERSION,93,252,0.6289577484130859
600_55_0,INVERSION,455,577,43,122,TRANSLOCATION,455,0,0.29534220695495605
600_55_1,INVERSION,290,399,60,109,INVERSION,278,398,0.41516637802124023
600_55_2,INVERSION,264,437,63,173,INVERSION,264,436,0.4456453323364258
600_55_3,INVERSION,143,256,55,113,INVERSION,144,254,0.4154207706451416
600_55_4,INVERSION,212,299,50,87,TRANSLOCATION,298,0,0.34790992736816406
600_60_0,INVERSION,391,486,38,95,INVERSION,391,485,0.2674524784088135
600_60_1,INVERSION,181,237,57,56,INVERSION,182,235,0.4206504821777344
600_60_2,INVERSION,128,309,43,181,TRANSLOCATION,308,0,0.31200480461120605
600_60_3,INVERSION,395,594,48,199,TRANSLOCATION,383,0,0.343017578125
600_60_4,INVERSION,284,323,40,39,INVERSION,284,295,0.28885984420776367
600_65_0,INVERSION,300,458,43,158,INVERSION,281,466,0.326185941696167
600_65_1,INVERSION,430,546,40,116,TRANSLOCATION,430,0,0.28778553009033203
600_65_2,INVERSION,119,318,55,199,INVERSION,93,317,0.4119377136230469
600_65_3,INVERSION,159,315,45,156,INVERSION,159,314,0.33673644065856934
600_65_4,INVERSION,311,415,54,104,INVERSION,288,413,0.3985269069671631
600_70_0,INVERSION,466,578,33,112,TRANSLOCATION,442,0,0.2582409381866455
600_70_1,INVERSION,188,307,42,119,INVERSION,188,306,0.3276395797729492
600_70_2,INVERSION,192,290,47,98,INVERSION,192,289,0.3611009120941162
600_70_3,INVERSION,281,418,50,137,INVERSION,248,443,0.37528252601623535
600_70_4,INVERSION,454,651,47,197,TRANSLOCATION,433,0,0.3549201488494873
600_75_0,INVERSION,328,376,42,48,INVERSION,329,343,0.3249094486236572
600_75_1,INVERSION,160,342,44,182,INVERSION,161,340,0.34767746925354004
600_75_2,INVERSION,403,486,41,83,INVERSION,396,485,0.31690502166748047
600_75_3,INVERSION,243,422,32,179,INVERSION,238,450,0.25542187690734863
600_75_4,INVERSION,325,492,37,167,TRANSLOCATION,325,0,0.29448819160461426
700_30_0,INVERSION,306,485,161,179,INVERSION,306,484,1.0994138717651367
700_30_1,INVERSION,418,518,89,100,INVERSION,410,517,0.6308133602142334
700_30_2,INVERSION,571,741,91,170,TRANSLOCATION,571,0,0.6287171840667725
700_30_3,INVERSION,538,584,95,46,INVERSION,538,583,0.647545337677002
700_30_4,INVERSION,558,708,163,150,TRANSLOCATION,552,0,1.1155683994293213
700_35_0,INVERSION,190,342,96,152,INVERSION,192,339,0.7196569442749023
700_35_1,INVERSION,567,674,109,107,TRANSLOCATION,567,0,0.7718539237976074
700_35_2,INVERSION,534,635,71,101,INVERSION,700,700,0.5124220848083496
700_35_3,INVERSION,468,686,94,218,TRANSLOCATION,460,0,0.6938488483428955
700_35_4,INVERSION,225,277,84,52,INVERSION,227,274,0.6267859935760498
700_40_0,INVERSION,333,394,78,61,INVERSION,334,392,0.5960407257080078
700_40_1,INVERSION,337,493,112,156,INVERSION,337,492,0.8399679660797119
700_40_2,INVERSION,184,216,65,32,INVERSION,187,196,0.4967234134674072
700_40_3,INVERSION,174,231,69,57,INVERSION,174,230,0.5507519245147705
700_40_4,INVERSION,80,175,82,95,INVERSION,80,174,0.6246907711029053
700_45_0,INVERSION,590,718,74,128,TRANSLOCATION,589,0,0.5760645866394043
700_45_1,INVERSION,134,267,125,133,INVERSION,134,275,0.9849698543548584
700_45_2,INVERSION,204,258,74,54,INVERSION,204,257,0.5882928371429443
700_45_3,INVERSION,183,222,81,39,INVERSION,183,198,0.644040584564209
700_45_4,INVERSION,435,493,59,58,TRANSLOCATION,492,0,0.46881794929504395
700_50_0,INVERSION,381,480,68,99,INVERSION,381,479,0.551133394241333
700_50_1,INVERSION,350,547,90,197,INVERSION,350,560,0.7418742179870605
700_50_2,INVERSION,563,637,88,74,TRANSLOCATION,561,0,0.7331855297088623
700_50_3,INVERSION,395,488,67,93,INVERSION,396,486,0.5532577037811279
700_50_4,INVERSION,342,502,62,160,INVERSION,342,501,0.5270369052886963
700_55_0,INVERSION,505,547,49,42,INVERSION,487,546,0.42006731033325195
700_55_1,INVERSION,570,651,50,81,TRANSLOCATION,570,0,0.43168091773986816
700_55_2,INVERSION,386,544,59,158,INVERSION,370,543,0.4995002746582031
700_55_3,INVERSION,320,409,58,89,INVERSION,311,415,0.5110230445861816
700_55_4,INVERSION,144,365,65,221,TRANSLOCATION,144,0,0.5677478313446045
700_60_0,INVERSION,396,565,57,169,INVERSION,396,564,0.5149004459381104
700_60_1,INVERSION,392,554,71,162,INVERSION,392,553,0.6390361785888672
700_60_2,INVERSION,399,530,50,131,INVERSION,400,528,0.455197811126709
700_60_3,INVERSION,400,578,56,178,INVERSION,400,577,0.48965978622436523
700_60_4,INVERSION,230,308,45,78,INVERSION,206,331,0.40625786781311035
700_65_0,INVERSION,330,524,50,194,INVERSION,321,522,0.4657011032104492
700_65_1,INVERSION,487,575,47,88,INVERSION,477,574,0.4352703094482422
700_65_2,INVERSION,440,623,54,183,TRANSLOCATION,427,0,0.5012674331665039
700_65_3,INVERSION,464,547,39,83,TRANSLOCATION,546,0,0.3630082607269287
700_65_4,INVERSION,507,569,61,62,INVERSION,502,521,0.5569114685058594
700_70_0,INVERSION,205,382,55,177,INVERSION,205,381,0.5391087532043457
700_70_1,INVERSION,506,657,38,151,TRANSLOCATION,506,0,0.3625218868255615
700_70_2,INVERSION,312,531,42,219,INVERSION,312,563,0.4124929904937744
700_70_3,INVERSION,436,613,51,177,TRANSLOCATION,436,0,0.48367977142333984
700_70_4,INVERSION,351,421,40,70,INVERSION,351,361,0.3886837959289551
700_75_0,INVERSION,148,221,35,73,INVERSION,148,220,0.35365939140319824
700_75_1,INVERSION,349,455,38,106,INVERSION,324,453,0.3788895606994629
700_75_2,INVERSION,156,327,41,171,TRANSLOCATION,326,0,0.4091510772705078
700_75_3,INVERSION,301,465,36,164,TRANSLOCATION,279,0,0.36275148391723633
700_75_4,INVERSION,286,373,39,87,INVERSION,288,313,0.394207239151001
800_30_0,INVERSION,338,526,113,188,TANDEM,525,326,0.9380567073822021
800_30_1,INVERSION,495,552,91,57,TRANSLOCATION,498,0,0.7463910579681396
800_30_2,INVERSION,295,440,136,145,INVERSION,295,439,1.1623785495758057
800_30_3,INVERSION,305,348,91,43,TRANSLOCATION,305,0,0.7826106548309326
800_30_4,INVERSION,388,475,119,87,INVERSION,389,473,0.9879729747772217
800_35_0,INVERSION,343,466,103,123,INVERSION,343,465,0.8986713886260986
800_35_1,INVERSION,366,572,113,206,TRANSLOCATION,570,0,1.0043354034423828
800_35_2,INVERSION,391,464,108,73,INVERSION,392,462,0.9585483074188232
800_35_3,INVERSION,259,319,99,60,INVERSION,262,315,0.8706388473510742
800_35_4,INVERSION,500,623,102,123,INVERSION,500,622,0.8927693367004395
800_40_0,INVERSION,560,796,66,236,TRANSLOCATION,563,0,0.6187939643859863
800_40_1,INVERSION,645,766,95,121,TRANSLOCATION,636,0,0.8893246650695801
800_40_2,INVERSION,563,680,83,117,INVERSION,563,679,0.7571027278900146
800_40_3,INVERSION,193,347,78,154,INVERSION,193,346,0.7461929321289062
800_40_4,INVERSION,298,363,82,65,INVERSION,298,362,0.7755856513977051
800_45_0,INVERSION,630,767,70,137,TRANSLOCATION,630,0,0.6794519424438477
800_45_1,INVERSION,383,646,77,263,INVERSION,362,645,0.7354190349578857
800_45_2,INVERSION,372,482,59,110,INVERSION,372,481,0.5707294940948486
800_45_3,INVERSION,281,368,60,87,INVERSION,281,367,0.5943291187286377
800_45_4,INVERSION,552,723,77,171,TRANSLOCATION,549,0,0.7476987838745117
800_50_0,INVERSION,449,563,73,114,INVERSION,429,562,0.7322824001312256
800_50_1,INVERSION,220,324,67,104,INVERSION,214,322,0.6796739101409912
800_50_2,INVERSION,323,433,53,110,INVERSION,323,432,0.55013108253479
800_50_3,INVERSION,515,602,53,87,INVERSION,489,610,0.5370974540710449
800_50_4,INVERSION,137,400,55,263,INVERSION,122,399,0.5699477195739746
800_55_0,INVERSION,409,651,53,242,INVERSION,411,668,0.5628514289855957
800_55_1,INVERSION,351,615,66,264,INVERSION,351,614,0.7079439163208008
800_55_2,INVERSION,389,560,49,171,INVERSION,389,559,0.530386209487915
800_55_3,INVERSION,345,577,60,232,INVERSION,326,575,0.6405842304229736
800_55_4,INVERSION,557,822,76,265,TRANSLOCATION,557,0,0.798839807510376
800_60_0,INVERSION,278,336,45,58,INVERSION,244,293,0.4989612102508545
800_60_1,INVERSION,543,593,54,50,INVERSION,543,560,0.5886828899383545
800_60_2,INVERSION,154,302,44,148,TRANSLOCATION,154,0,0.4960963726043701
800_60_3,INVERSION,551,814,45,263,TRANSLOCATION,552,0,0.49646592140197754
800_60_4,INVERSION,307,476,60,169,INVERSION,307,475,0.6518955230712891
800_65_0,INVERSION,324,425,40,101,INVERSION,311,429,0.46242594718933105
800_65_1,INVERSION,282,402,45,120,INVERSION,282,417,0.5224881172180176
800_65_2,INVERSION,606,771,42,165,TRANSLOCATION,607,0,0.4817779064178467
800_65_3,INVERSION,310,472,39,162,INVERSION,310,471,0.4564635753631592
800_65_4,INVERSION,213,398,44,185,INVERSION,215,417,0.5037808418273926
800_70_0,INVERSION,201,416,42,215,INVERSION,189,414,0.5062613487243652
800_70_1,INVERSION,495,583,39,88,INVERSION,462,517,0.4564836025238037
800_70_2,INVERSION,619,703,57,84,TRANSLOCATION,619,0,0.6789863109588623
800_70_3,INVERSION,337,601,38,264,INVERSION,337,600,0.45282697677612305
800_70_4,INVERSION,548,770,34,222,TRANSLOCATION,548,0,0.40666675567626953
800_75_0,INVERSION,219,462,41,243,INVERSION,219,461,0.5130512714385986
800_75_1,INVERSION,170,286,29,116,INVERSION,167,310,0.3693816661834717
800_75_2,INVERSION,287,459,30,172,INVERSION,287,482,0.37696051597595215
800_75_3,INVERSION,621,687,36,66,INVERSION,593,647,0.43766140937805176
800_75_4,INVERSION,225,358,41,133,INVERSION,225,357,0.514474630355835
900_30_0,INVERSION,654,737,105,83,INVERSION,654,737,1.0502946376800537
900_30_1,INVERSION,187,297,130,110,INVERSION,188,295,1.2876455783843994
900_30_2,INVERSION,763,977,113,214,TRANSLOCATION,763,0,1.1000566482543945
900_30_3,INVERSION,638,838,107,200,TRANSLOCATION,638,0,1.0559852123260498
900_30_4,INVERSION,748,881,88,133,TRANSLOCATION,748,0,0.8759980201721191
900_35_0,INVERSION,495,635,126,140,INVERSION,484,634,1.3184542655944824
900_35_1,INVERSION,288,344,99,56,INVERSION,288,343,1.0212337970733643
900_35_2,INVERSION,277,343,135,66,INVERSION,277,342,1.4298717975616455
900_35_3,INVERSION,735,942,102,207,TRANSLOCATION,735,0,1.0486831665039062
900_35_4,INVERSION,790,1030,111,240,TRANSLOCATION,791,0,1.1292524337768555
900_40_0,INVERSION,429,542,66,113,INVERSION,429,541,0.7269933223724365
900_40_1,INVERSION,762,912,100,150,TRANSLOCATION,762,0,1.117642879486084
900_40_2,INVERSION,297,557,80,260,INVERSION,285,554,0.9200773239135742
900_40_3,INVERSION,478,657,86,179,INVERSION,478,656,0.9669413566589355
900_40_4,INVERSION,251,522,99,271,INVERSION,227,520,1.1324830055236816
900_45_0,INVERSION,603,674,70,71,INVERSION,603,673,0.8310518264770508
900_45_1,INVERSION,410,585,69,175,INVERSION,400,599,0.8297429084777832
900_45_2,INVERSION,451,526,95,75,INVERSION,451,538,1.1014580726623535
900_45_3,INVERSION,297,393,53,96,INVERSION,298,391,0.6238350868225098
900_45_4,INVERSION,302,376,77,74,INVERSION,302,375,0.880537748336792
900_50_0,INVERSION,179,376,73,197,INVERSION,179,375,0.9040653705596924
900_50_1,INVERSION,705,808,66,103,TRANSLOCATION,705,0,0.787804126739502
900_50_2,INVERSION,332,519,64,187,INVERSION,329,518,0.7961797714233398
900_50_3,INVERSION,584,809,75,225,TRANSLOCATION,584,0,0.8914544582366943
900_50_4,INVERSION,650,774,84,124,INVERSION,644,773,1.0074992179870605
900_55_0,INVERSION,629,840,68,211,TRANSLOCATION,629,0,0.8621337413787842
900_55_1,INVERSION,650,818,64,168,TRANSLOCATION,650,0,0.7983613014221191
900_55_2,INVERSION,375,592,46,217,INVERSION,375,591,0.581096887588501
900_55_3,INVERSION,770,1039,50,269,TRANSLOCATION,770,0,0.63250732421875
900_55_4,INVERSION,311,374,64,63,INVERSION,353,373,0.8108196258544922
900_60_0,INVERSION,691,925,70,234,TRANSLOCATION,670,0,0.916684627532959
900_60_1,INVERSION,219,450,71,231,INVERSION,219,449,0.9404387474060059
900_60_2,INVERSION,602,854,46,252,INVERSION,900,900,0.5956482887268066
900_60_3,INVERSION,304,549,64,245,INVERSION,305,569,0.8441195487976074
900_60_4,INVERSION,598,891,60,293,TRANSLOCATION,585,0,0.7950038909912109
900_65_0,INVERSION,317,379,38,62,INVERSION,317,340,0.5236587524414062
900_65_1,INVERSION,383,513,59,130,INVERSION,367,510,0.8150408267974854
900_65_2,INVERSION,367,574,48,207,TRANSLOCATION,573,0,0.6617870330810547
900_65_3,INVERSION,348,477,58,129,INVERSION,348,508,0.8079624176025391
900_65_4,INVERSION,293,352,48,59,INVERSION,293,317,0.6613311767578125
900_70_0,INVERSION,532,724,45,192,INVERSION,532,723,0.6380548477172852
900_70_1,INVERSION,574,725,37,151,INVERSION,900,900,0.5336310863494873
900_70_2,INVERSION,206,373,40,167,INVERSION,206,372,0.568204402923584
900_70_3,INVERSION,258,552,36,294,TRANSLOCATION,236,0,0.5170879364013672
900_70_4,INVERSION,302,469,37,167,INVERSION,302,468,0.53330397605896
900_75_0,INVERSION,489,787,54,298,TRANSLOCATION,489,0,0.7918615341186523
900_75_1,INVERSION,399,668,37,269,TRANSLOCATION,667,0,0.5542943477630615
900_75_2,INVERSION,242,384,36,142,INVERSION,222,404,0.53782057762146
900_75_3,INVERSION,353,486,56,133,INVERSION,354,484,0.8432681560516357
900_75_4,INVERSION,673,912,42,239,TRANSLOCATION,673,0,0.6405816078186035
1000_30_0,INVERSION,406,638,95,232,TANDEM,637,406,1.1131205558776855
1000_30_1,INVERSION,82,321,111,239,TANDEM,319,83,1.2967908382415771
1000_30_2,INVERSION,124,240,174,116,INVERSION,125,238,1.9784879684448242
1000_30_3,INVERSION,455,556,140,101,INVERSION,441,555,1.5745599269866943
1000_30_4,INVERSION,611,885,98,274,TRANSLOCATION,611,0,1.1249873638153076
1000_35_0,INVERSION,405,695,95,290,TANDEM,1000,1000,1.1602249145507812
1000_35_1,INVERSION,504,638,126,134,INVERSION,504,661,1.5486805438995361
1000_35_2,INVERSION,698,968,99,270,TRANSLOCATION,698,0,1.2075920104980469
1000_35_3,INVERSION,700,913,151,213,TANDEM,912,700,1.8009228706359863
1000_35_4,INVERSION,276,427,79,151,INVERSION,276,426,0.9596500396728516
1000_40_0,INVERSION,876,1145,80,269,TRANSLOCATION,876,0,1.0202441215515137
1000_40_1,INVERSION,668,833,117,165,INVERSION,638,832,1.494997262954712
1000_40_2,INVERSION,166,308,90,142,INVERSION,166,307,1.1421408653259277
1000_40_3,INVERSION,265,362,107,97,INVERSION,246,361,1.4137065410614014
1000_40_4,INVERSION,872,1046,83,174,TRANSLOCATION,872,0,1.0373966693878174
1000_45_0,INVERSION,459,585,107,126,INVERSION,459,584,1.4562382698059082
1000_45_1,INVERSION,736,911,101,175,TRANSLOCATION,736,0,1.357658863067627
1000_45_2,INVERSION,199,507,70,308,TRANSLOCATION,506,0,0.956345796585083
1000_45_3,INVERSION,740,834,63,94,TRANSLOCATION,741,0,0.8443286418914795
1000_45_4,INVERSION,229,504,93,275,INVERSION,229,503,1.2697603702545166
1000_50_0,INVERSION,169,377,63,208,INVERSION,169,376,0.9047963619232178
1000_50_1,INVERSION,402,497,69,95,INVERSION,402,496,0.9651429653167725
1000_50_2,INVERSION,792,1019,48,227,TRANSLOCATION,759,0,0.6813178062438965
1000_50_3,INVERSION,366,674,52,308,TRANSLOCATION,366,0,0.7549264430999756
1000_50_4,INVERSION,474,705,66,231,TRANSLOCATION,704,0,0.9676854610443115
1000_55_0,INVERSION,226,526,44,300,TRANSLOCATION,196,0,0.6948401927947998
1000_55_1,INVERSION,660,792,56,132,INVERSION,653,791,0.8313493728637695
1000_55_2,INVERSION,725,849,48,124,TRANSLOCATION,720,0,0.7269375324249268
1000_55_3,INVERSION,516,607,62,91,INVERSION,516,606,0.9398777484893799
1000_55_4,INVERSION,259,345,62,86,INVERSION,229,343,0.972766637802124
1000_60_0,INVERSION,445,690,43,245,INVERSION,445,721,0.6870632171630859
1000_60_1,INVERSION,454,618,64,164,INVERSION,455,616,0.9753594398498535
1000_60_2,INVERSION,763,1008,58,245,TRANSLOCATION,747,0,0.8771548271179199
1000_60_3,INVERSION,535,651,52,116,INVERSION,535,650,0.8010480403900146
1000_60_4,INVERSION,316,567,49,251,INVERSION,316,566,0.770334005355835
1000_65_0,INVERSION,540,628,38,88,INVERSION,498,562,0.6232089996337891
1000_65_1,INVERSION,563,737,37,174,TRANSLOCATION,531,0,0.5909569263458252
1000_65_2,INVERSION,382,710,60,328,INVERSION,334,709,0.9625990390777588
1000_65_3,INVERSION,255,383,42,128,INVERSION,255,282,0.6973855495452881
1000_65_4,INVERSION,453,724,52,271,INVERSION,453,734,0.8477516174316406
1000_70_0,INVERSION,567,804,56,237,INVERSION,564,802,0.9327991008758545
1000_70_1,INVERSION,738,919,47,181,TRANSLOCATION,738,0,0.7849338054656982
1000_70_2,INVERSION,379,692,37,313,INVERSION,380,690,0.6254496574401855
1000_70_3,INVERSION,489,636,39,147,INVERSION,490,634,0.6504096984863281
1000_70_4,INVERSION,445,608,50,163,INVERSION,446,606,0.8450689315795898
1000_75_0,INVERSION,667,919,39,252,TRANSLOCATION,667,0,0.6867959499359131
1000_75_1,INVERSION,701,820,30,119,INVERSION,784,719,0.5232343673706055
1000_75_2,INVERSION,752,1047,32,295,TRANSLOCATION,751,0,0.5495436191558838
1000_75_3,INVERSION,755,897,47,142,TRANSLOCATION,710,0,0.7996845245361328
1000_75_4,INVERSION,551,683,44,132,INVERSION,551,730,0.7650105953216553
1100_30_0,INVERSION,889,1236,100,347,TRANSLOCATION,877,0,1.3260655403137207
1100_30_1,INVERSION,136,298,94,162,INVERSION,136,297,1.2772116661071777
1100_30_2,INVERSION,762,924,125,162,TRANSLOCATION,928,0,1.61529541015625
1100_30_3,INVERSION,609,886,115,277,INVERSION,609,885,1.5057525634765625
1100_30_4,INVERSION,892,1144,126,252,TRANSLOCATION,892,0,1.6342597007751465
1100_35_0,INVERSION,343,498,119,155,INVERSION,343,497,1.6740574836730957
1100_35_1,INVERSION,844,919,83,75,INVERSION,831,917,1.127971887588501
1100_35_2,INVERSION,879,1010,96,131,TRANSLOCATION,879,0,1.337874174118042
1100_35_3,INVERSION,288,573,122,285,INVERSION,266,572,1.7193551063537598
1100_35_4,INVERSION,909,1020,96,111,TRANSLOCATION,909,0,1.3481755256652832
1100_40_0,INVERSION,261,389,69,128,INVERSION,251,388,1.024501085281372
1100_40_1,INVERSION,861,932,89,71,INVERSION,861,931,1.31276273727417
1100_40_2,INVERSION,573,779,75,206,INVERSION,574,777,1.0962367057800293
1100_40_3,INVERSION,131,488,90,357,TANDEM,487,118,1.336256980895996
1100_40_4,INVERSION,537,588,92,51,INVERSION,570,596,1.3568921089172363
1100_45_0,INVERSION,300,350,71,50,INVERSION,285,349,1.12178635597229
1100_45_1,INVERSION,569,873,63,304,INVERSION,569,872,0.9611315727233887
1100_45_2,INVERSION,652,780,79,128,INVERSION,653,778,1.2251622676849365
1100_45_3,INVERSION,619,908,89,289,INVERSION,606,906,1.378753423690796
1100_45_4,INVERSION,651,759,87,108,INVERSION,651,758,1.3419160842895508
1100_50_0,INVERSION,627,893,71,266,TRANSLOCATION,892,0,1.1444151401519775
1100_50_1,INVERSION,492,796,55,304,TRANSLOCATION,481,0,0.9063851833343506
1100_50_2,INVERSION,559,774,66,215,INVERSION,536,773,1.090254545211792
1100_50_3,INVERSION,795,1020,69,225,TRANSLOCATION,795,0,1.1355912685394287
1100_50_4,INVERSION,608,727,55,119,INVERSION,1100,1100,0.8996627330780029
1100_55_0,INVERSION,893,997,53,104,TRANSLOCATION,893,0,0.9154431819915771
1100_55_1,INVERSION,386,466,57,80,INVERSION,386,403,0.977832555770874
1100_55_2,INVERSION,274,468,50,194,TRANSLOCATION,274,0,0.8671364784240723
1100_55_3,INVERSION,881,1020,63,139,TRANSLOCATION,881,0,1.078209400177002
1100_55_4,INVERSION,401,533,46,132,INVERSION,369,532,0.8166956901550293
1100_60_0,INVERSION,555,685,49,130,INVERSION,555,684,0.8678350448608398
1100_60_1,INVERSION,428,723,56,295,INVERSION,428,722,1.0678706169128418
1100_60_2,INVERSION,861,996,43,135,TRANSLOCATION,861,0,0.8351855278015137
1100_60_3,INVERSION,275,488,45,213,TRANSLOCATION,487,0,0.8590812683105469
1100_60_4,INVERSION,858,1092,54,234,TRANSLOCATION,827,0,0.9834105968475342
1100_65_0,INVERSION,714,1007,39,293,TRANSLOCATION,714,0,0.7408127784729004
1100_65_1,INVERSION,600,807,51,207,INVERSION,582,806,1.008497714996338
1100_65_2,INVERSION,841,1134,52,293,TRANSLOCATION,801,0,1.0021047592163086
1100_65_3,INVERSION,430,540,36,110,INVERSION,430,459,0.7123677730560303
1100_65_4,INVERSION,325,486,41,161,INVERSION,325,523,0.813887357711792
1100_70_0,INVERSION,590,701,32,111,INVERSION,590,700,0.6600029468536377
1100_70_1,INVERSION,633,956,38,323,TRANSLOCATION,633,0,0.7369368076324463
1100_70_2,INVERSION,411,655,38,244,TRANSLOCATION,366,0,0.7518887519836426
