,real_type,real_start,real_end,read_count,var_size,type,start,end,time(s)
600_45_4,TRANSLOCATION,442,0,67,158,TRANSLOCATION,442,0,0.424936533
600_50_0,TRANSLOCATION,549,0,93,51,TRANSLOCATION,551,0,0.603096724
600_50_1,TRANSLOCATION,518,0,73,82,TRANSLOCATION,519,0,0.48713398
600_50_2,TRANSLOCATION,497,0,67,103,TRANSLOCATION,497,0,0.453975916
600_50_3,TRANSLOCATION,547,0,51,53,TRANSLOCATION,547,0,0.34270525
600_50_4,TRANSLOCATION,503,0,63,97,TRANSLOCATION,503,0,0.417467833
600_55_0,TRANSLOCATION,486,0,66,114,TRANSLOCATION,486,0,0.455481768
600_55_1,TRANSLOCATION,444,0,54,156,TRANSLOCATION,445,0,0.37858367
600_55_2,TRANSLOCATION,549,0,57,51,TRANSLOCATION,551,0,0.389562368
600_55_3,TRANSLOCATION,471,0,50,129,TANDEM,600,600,0.342213392
600_55_4,TRANSLOCATION,527,0,63,73,TRANSLOCATION,510,0,0.427018881
600_60_0,TRANSLOCATION,478,0,41,122,TANDEM,600,600,0.29177022
600_60_1,TRANSLOCATION,488,0,42,112,TRANSLOCATION,489,0,0.29524827
600_60_2,TRANSLOCATION,553,0,48,47,TRANSLOCATION,553,0,0.335806608
600_60_3,TRANSLOCATION,514,0,47,86,TRANSLOCATION,514,0,0.332217932
600_60_4,TRANSLOCATION,515,0,42,85,TANDEM,600,600,0.295203924
600_65_0,TRANSLOCATION,456,0,67,144,TRANSLOCATION,448,0,0.495877743
600_65_1,TRANSLOCATION,418,0,53,182,TRANSLOCATION,419,0,0.388984919
600_65_2,TRANSLOCATION,416,0,38,184,TRANSLOCATION,416,0,0.291369915
600_65_3,TRANSLOCATION,425,0,51,175,TRANSLOCATION,426,0,0.380324125
600_65_4,TRANSLOCATION,560,0,42,40,TRANSLOCATION,556,0,0.300963163
600_70_0,TRANSLOCATION,419,0,32,181,TRANSLOCATION,419,0,0.253104687
600_70_1,TRANSLOCATION,431,0,45,169,TRANSLOCATION,431,0,0.352892876
600_70_2,TRANSLOCATION,448,0,51,152,TRANSLOCATION,444,0,0.383796215
600_70_3,TRANSLOCATION,460,0,36,140,TRANSLOCATION,460,0,0.277235508
600_70_4,TRANSLOCATION,435,0,49,165,TRANSLOCATION,435,0,0.376332998
600_75_0,TRANSLOCATION,488,0,32,112,TRANSLOCATION,488,0,0.250837803
600_75_1,TRANSLOCATION,495,0,36,105,TRANSLOCATION,495,0,0.275762796
600_75_2,TRANSLOCATION,523,0,31,77,TRANSLOCATION,511,0,0.236467361
600_75_3,TRANSLOCATION,518,0,36,82,TRANSLOCATION,518,0,0.282752991
600_75_4,TRANSLOCATION,431,0,34,169,TRANSLOCATION,432,0,0.275105238
700_30_0,TRANSLOCATION,599,0,127,101,TRANSLOCATION,599,0,0.890804768
700_30_1,TRANSLOCATION,472,0,100,228,INSERTION_SMALLER,700,700,0.724815607
700_30_2,TRANSLOCATION,568,0,123,132,TRANSLOCATION,569,0,0.854064941
700_30_3,TRANSLOCATION,581,0,186,119,TRANSLOCATION,581,0,1.264883757
700_30_4,TRANSLOCATION,625,0,118,75,TANDEM,700,700,0.823864222
700_35_0,TRANSLOCATION,580,0,116,120,TRANSLOCATION,580,0,0.839570761
700_35_1,TRANSLOCATION,494,0,115,206,TRANSLOCATION,483,0,0.836838722
700_35_2,TRANSLOCATION,514,0,91,186,TRANSLOCATION,514,0,0.675981522
700_35_3,TRANSLOCATION,529,0,89,171,TRANSLOCATION,529,0,0.654394627
700_35_4,TRANSLOCATION,520,0,94,180,TRANSLOCATION,520,0,0.681098938
700_40_0,TRANSLOCATION,537,0,96,163,TRANSLOCATION,538,0,0.730934858
700_40_1,TRANSLOCATION,484,0,88,216,TRANSLOCATION,488,0,0.683518887
700_40_2,TRANSLOCATION,596,0,103,104,TRANSLOCATION,596,0,0.781549931
700_40_3,TRANSLOCATION,523,0,62,177,TRANSLOCATION,525,0,0.490498066
700_40_4,TRANSLOCATION,556,0,99,144,TRANSLOCATION,558,0,0.774766922
700_45_0,TRANSLOCATION,486,0,102,214,TRANSLOCATION,467,0,0.815830946
700_45_1,TRANSLOCATION,483,0,73,217,TRANSLOCATION,483,0,0.593423843
700_45_2,TRANSLOCATION,658,0,69,42,TRANSLOCATION,658,0,0.553599119
700_45_3,TRANSLOCATION,625,0,61,75,TRANSLOCATION,612,0,0.483007431
700_45_4,TRANSLOCATION,492,0,55,208,TANDEM,700,700,0.450740099
700_50_0,TRANSLOCATION,608,0,64,92,TRANSLOCATION,608,0,0.529883146
700_50_1,TRANSLOCATION,660,0,69,40,TRANSLOCATION,661,0,0.57407093
700_50_2,TRANSLOCATION,526,0,70,174,TRANSLOCATION,527,0,0.588840246
700_50_3,TRANSLOCATION,624,0,66,76,TRANSLOCATION,601,0,0.544231415
700_50_4,TRANSLOCATION,574,0,83,126,TRANSLOCATION,574,0,0.680300713
700_55_0,TRANSLOCATION,567,0,88,133,TRANSLOCATION,567,0,0.750637531
700_55_1,TRANSLOCATION,615,0,58,85,TRANSLOCATION,615,0,0.502418041
700_55_2,TRANSLOCATION,577,0,44,123,TRANSLOCATION,561,0,0.382121086
700_55_3,TRANSLOCATION,656,0,48,44,TRANSLOCATION,657,0,0.405881166
700_55_4,TRANSLOCATION,539,0,74,161,TRANSLOCATION,539,0,0.638806581
700_60_0,TRANSLOCATION,643,0,51,57,TRANSLOCATION,643,0,0.450540543
700_60_1,TRANSLOCATION,488,0,47,212,TRANSLOCATION,488,0,0.422592402
700_60_2,TRANSLOCATION,507,0,77,193,TRANSLOCATION,495,0,0.68257308
700_60_3,TRANSLOCATION,470,0,59,230,TRANSLOCATION,470,0,0.543706417
700_60_4,TRANSLOCATION,475,0,61,225,TRANSLOCATION,475,0,0.557540655
700_65_0,TRANSLOCATION,534,0,57,166,TRANSLOCATION,535,0,0.531741142
700_65_1,TRANSLOCATION,512,0,47,188,TRANSLOCATION,512,0,0.438358068
700_65_2,TRANSLOCATION,535,0,35,165,TRANSLOCATION,535,0,0.323828936
700_65_3,TRANSLOCATION,529,0,41,171,TRANSLOCATION,529,0,0.379889727
700_65_4,TRANSLOCATION,516,0,46,184,TRANSLOCATION,482,0,0.434749842
700_70_0,TRANSLOCATION,555,0,46,145,TRANSLOCATION,555,0,0.433913708
700_70_1,TRANSLOCATION,628,0,42,72,TRANSLOCATION,628,0,0.391134501
700_70_2,TRANSLOCATION,585,0,39,115,TANDEM,700,700,0.371839523
700_70_3,TRANSLOCATION,610,0,51,90,TRANSLOCATION,611,0,0.485295773
700_70_4,TRANSLOCATION,572,0,35,128,TRANSLOCATION,550,0,0.334863424
700_75_0,TRANSLOCATION,499,0,48,201,TRANSLOCATION,499,0,0.481379509
700_75_1,TRANSLOCATION,526,0,32,174,TRANSLOCATION,504,0,0.31257534
700_75_2,TRANSLOCATION,537,0,32,163,TANDEM,700,700,0.31598115
700_75_3,TRANSLOCATION,505,0,41,195,TRANSLOCATION,490,0,0.408639669
700_75_4,TRANSLOCATION,644,0,53,56,TRANSLOCATION,614,0,0.511809349
800_30_0,TRANSLOCATION,577,0,148,223,TRANSLOCATION,577,0,1.27090764
800_30_1,TRANSLOCATION,753,0,97,47,TRANSLOCATION,753,0,0.786597967
800_30_2,TRANSLOCATION,663,0,114,137,TANDEM,800,800,0.946915865
800_30_3,TRANSLOCATION,582,0,98,218,TANDEM,800,800,0.834401608
800_30_4,TRANSLOCATION,658,0,147,142,TRANSLOCATION,657,0,1.219194651
800_35_0,TRANSLOCATION,680,0,129,120,TRANSLOCATION,667,0,1.111373663
800_35_1,TRANSLOCATION,540,0,130,260,TRANSLOCATION,540,0,1.186285973
800_35_2,TRANSLOCATION,578,0,109,222,TRANSLOCATION,578,0,0.993610382
800_35_3,TRANSLOCATION,648,0,82,152,TRANSLOCATION,648,0,0.7226336
800_35_4,TRANSLOCATION,659,0,122,141,TRANSLOCATION,639,0,1.056600332
800_40_0,TRANSLOCATION,662,0,83,138,TRANSLOCATION,637,0,0.757684946
800_40_1,TRANSLOCATION,552,0,81,248,TRANSLOCATION,552,0,0.759765625
800_40_2,TRANSLOCATION,688,0,103,112,TRANSLOCATION,689,0,0.960498571
800_40_3,TRANSLOCATION,599,0,90,201,TRANSLOCATION,599,0,0.850915909
800_40_4,TRANSLOCATION,721,0,75,79,TRANSLOCATION,721,0,0.687441826
800_45_0,TRANSLOCATION,583,0,75,217,TRANSLOCATION,557,0,0.725817204
800_45_1,TRANSLOCATION,727,0,55,73,TRANSLOCATION,727,0,0.533564806
800_45_2,TRANSLOCATION,721,0,59,79,TRANSLOCATION,699,0,0.565594673
800_45_3,TRANSLOCATION,687,0,82,113,TANDEM,800,800,0.784941196
800_45_4,TRANSLOCATION,700,0,60,100,TRANSLOCATION,700,0,0.582313538
800_50_0,TRANSLOCATION,671,0,63,129,TRANSLOCATION,671,0,0.635563135
800_50_1,TRANSLOCATION,720,0,61,80,TRANSLOCATION,720,0,0.614035606
800_50_2,TRANSLOCATION,620,0,53,180,TRANSLOCATION,608,0,0.539613962
800_50_3,TRANSLOCATION,592,0,58,208,TRANSLOCATION,592,0,0.594267368
800_50_4,TRANSLOCATION,618,0,55,182,TRANSLOCATION,618,0,0.568530798
800_55_0,TRANSLOCATION,739,0,53,61,TRANSLOCATION,733,0,0.554440022
800_55_1,TRANSLOCATION,608,0,68,192,TRANSLOCATION,608,0,0.709429502
800_55_2,TRANSLOCATION,722,0,58,78,TRANSLOCATION,722,0,0.614541054
800_55_3,TRANSLOCATION,652,0,61,148,TRANSLOCATION,652,0,0.650973797
800_55_4,TRANSLOCATION,685,0,46,115,TANDEM,800,800,0.481605768
800_60_0,TRANSLOCATION,572,0,45,228,TRANSLOCATION,572,0,0.497871876
800_60_1,TRANSLOCATION,615,0,44,185,TRANSLOCATION,581,0,0.478945255
800_60_2,TRANSLOCATION,557,0,44,243,TRANSLOCATION,557,0,0.491333723
800_60_3,TRANSLOCATION,637,0,50,163,TRANSLOCATION,637,0,0.548616648
800_60_4,TRANSLOCATION,712,0,65,88,TRANSLOCATION,700,0,0.702395678
800_65_0,TRANSLOCATION,546,0,45,254,TRANSLOCATION,547,0,0.523380756
800_65_1,TRANSLOCATION,697,0,58,103,TRANSLOCATION,697,0,0.643083096
800_65_2,TRANSLOCATION,569,0,40,231,TRANSLOCATION,569,0,0.456759214
800_65_3,TRANSLOCATION,641,0,42,159,TRANSLOCATION,622,0,0.480512619
800_65_4,TRANSLOCATION,606,0,46,194,TRANSLOCATION,606,0,0.523601294
800_70_0,TRANSLOCATION,626,0,46,174,TRANSLOCATION,593,0,0.542332649
800_70_1,TRANSLOCATION,690,0,45,110,TRANSLOCATION,690,0,0.533695936
800_70_2,TRANSLOCATION,679,0,48,121,TRANSLOCATION,679,0,0.549694061
800_70_3,TRANSLOCATION,691,0,39,109,TRANSLOCATION,691,0,0.453547239
800_70_4,TRANSLOCATION,671,0,47,129,TRANSLOCATION,664,0,0.536777258
800_75_0,TRANSLOCATION,598,0,48,202,TRANSLOCATION,598,0,0.599138021
800_75_1,TRANSLOCATION,569,0,41,231,TRANSLOCATION,569,0,0.527112007
800_75_2,TRANSLOCATION,737,0,40,63,TRANSLOCATION,738,0,0.50130868
800_75_3,TRANSLOCATION,715,0,37,85,TRANSLOCATION,703,0,0.457005739
800_75_4,TRANSLOCATION,685,0,39,115,TRANSLOCATION,685,0,0.463499546
900_30_0,TRANSLOCATION,801,0,84,99,TRANSLOCATION,794,0,0.861027956
900_30_1,TRANSLOCATION,770,0,103,130,TRANSLOCATION,772,0,1.041989326
900_30_2,TRANSLOCATION,737,0,164,163,TRANSLOCATION,725,0,1.644231319
900_30_3,TRANSLOCATION,836,0,93,64,TANDEM,900,900,0.895847321
900_30_4,TRANSLOCATION,672,0,119,228,TRANSLOCATION,672,0,1.214277744
900_35_0,TRANSLOCATION,606,0,126,294,TRANSLOCATION,606,0,1.347511768
900_35_1,TRANSLOCATION,746,0,99,154,TRANSLOCATION,746,0,1.038075447
900_35_2,TRANSLOCATION,864,0,97,36,TANDEM,900,900,0.996215105
900_35_3,TRANSLOCATION,703,0,88,197,TRANSLOCATION,703,0,0.925034761
900_35_4,TRANSLOCATION,722,0,91,178,TRANSLOCATION,722,0,0.950643063
900_40_0,TRANSLOCATION,674,0,65,226,TRANSLOCATION,675,0,0.728038788
900_40_1,TRANSLOCATION,695,0,73,205,INVERSION,900,900,0.803741455
900_40_2,TRANSLOCATION,777,0,82,123,TRANSLOCATION,777,0,0.886307001
900_40_3,TRANSLOCATION,786,0,74,114,TRANSLOCATION,770,0,0.814544439
900_40_4,TRANSLOCATION,809,0,71,91,TRANSLOCATION,809,0,0.778716803
900_45_0,TRANSLOCATION,645,0,82,255,TRANSLOCATION,645,0,0.947186708
900_45_1,TRANSLOCATION,733,0,75,167,TRANSLOCATION,733,0,0.862883091
900_45_2,TRANSLOCATION,683,0,68,217,TANDEM,900,900,0.784079313
900_45_3,TRANSLOCATION,626,0,79,274,TRANSLOCATION,621,0,0.941158772
900_45_4,TRANSLOCATION,826,0,103,74,TRANSLOCATION,826,0,1.170571804
900_50_0,TRANSLOCATION,783,0,81,117,TRANSLOCATION,782,0,0.975897551
900_50_1,TRANSLOCATION,791,0,65,109,TRANSLOCATION,791,0,0.77205205
900_50_2,TRANSLOCATION,695,0,56,205,TRANSLOCATION,695,0,0.686147928
900_50_3,TRANSLOCATION,664,0,75,236,TRANSLOCATION,658,0,0.922642469
900_50_4,TRANSLOCATION,794,0,78,106,TRANSLOCATION,794,0,0.936566591
900_55_0,TRANSLOCATION,626,0,58,274,TRANSLOCATION,626,0,0.738714695
900_55_1,TRANSLOCATION,757,0,54,143,TRANSLOCATION,757,0,0.659999371
900_55_2,TRANSLOCATION,730,0,64,170,TRANSLOCATION,702,0,0.803786278
900_55_3,TRANSLOCATION,636,0,46,264,TRANSLOCATION,626,0,0.596160173
900_55_4,TRANSLOCATION,669,0,43,231,TRANSLOCATION,669,0,0.556106806
900_60_0,TRANSLOCATION,760,0,55,140,TRANSLOCATION,761,0,0.716360807
900_60_1,TRANSLOCATION,704,0,64,196,TRANSLOCATION,704,0,0.822870731
900_60_2,TRANSLOCATION,651,0,62,249,TRANSLOCATION,651,0,0.810705662
900_60_3,TRANSLOCATION,624,0,58,276,TRANSLOCATION,624,0,0.778541803
900_60_4,TRANSLOCATION,631,0,44,269,TRANSLOCATION,609,0,0.596467495
900_65_0,TRANSLOCATION,789,0,65,111,TRANSLOCATION,771,0,0.884556055
900_65_1,TRANSLOCATION,828,0,41,72,TRANSLOCATION,829,0,0.575194597
900_65_2,TRANSLOCATION,788,0,46,112,TRANSLOCATION,788,0,0.620549917
900_65_3,TRANSLOCATION,629,0,52,271,TRANSLOCATION,592,0,0.737115383
900_65_4,TRANSLOCATION,679,0,38,221,TRANSLOCATION,679,0,0.518988371
900_70_0,TRANSLOCATION,616,0,46,284,TRANSLOCATION,616,0,0.666162252
900_70_1,TRANSLOCATION,709,0,33,191,TRANSLOCATION,692,0,0.479861975
900_70_2,TRANSLOCATION,692,0,36,208,TRANSLOCATION,692,0,0.510087967
900_70_3,TRANSLOCATION,754,0,38,146,TANDEM,900,900,0.534941196
900_70_4,TRANSLOCATION,601,0,53,299,TRANSLOCATION,601,0,0.754415035
900_75_0,TRANSLOCATION,666,0,52,234,TRANSLOCATION,638,0,0.770438194
900_75_1,TRANSLOCATION,713,0,33,187,TRANSLOCATION,713,0,0.493702412
900_75_2,TRANSLOCATION,782,0,30,118,TRANSLOCATION,782,0,0.440999269
900_75_3,TRANSLOCATION,746,0,47,154,TRANSLOCATION,746,0,0.671183348
900_75_4,TRANSLOCATION,762,0,36,138,TRANSLOCATION,763,0,0.523639679
1000_30_0,TRANSLOCATION,905,0,110,95,TRANSLOCATION,905,0,1.235366821
1000_30_1,TRANSLOCATION,711,0,117,289,TRANSLOCATION,712,0,1.367792845
1000_30_2,TRANSLOCATION,951,0,148,49,TRANSLOCATION,954,0,1.659938574
1000_30_3,TRANSLOCATION,853,0,98,147,TRANSLOCATION,853,0,1.140275002
1000_30_4,TRANSLOCATION,882,0,127,118,TRANSLOCATION,868,0,1.457654715
1000_35_0,TRANSLOCATION,670,0,128,330,TRANSLOCATION,659,0,1.597900629
1000_35_1,TRANSLOCATION,743,0,83,257,TRANSLOCATION,744,0,1.011287451
1000_35_2,TRANSLOCATION,922,0,144,78,TRANSLOCATION,903,0,1.711897612
1000_35_3,TRANSLOCATION,709,0,82,291,TRANSLOCATION,710,0,1.032457113
1000_35_4,TRANSLOCATION,886,0,125,114,TRANSLOCATION,886,0,1.515631437
1000_40_0,TRANSLOCATION,767,0,91,233,TRANSLOCATION,761,0,1.160909176
1000_40_1,TRANSLOCATION,911,0,82,89,TRANSLOCATION,904,0,1.049748182
1000_40_2,TRANSLOCATION,691,0,103,309,TRANSLOCATION,691,0,1.342214346
1000_40_3,TRANSLOCATION,747,0,75,253,TRANSLOCATION,747,0,0.970283031
1000_40_4,TRANSLOCATION,932,0,91,68,TRANSLOCATION,933,0,1.14670372
1000_45_0,TRANSLOCATION,814,0,58,186,TRANSLOCATION,814,0,0.785401821
1000_45_1,TRANSLOCATION,690,0,67,310,TRANSLOCATION,690,0,0.913376808
1000_45_2,TRANSLOCATION,699,0,75,301,TRANSLOCATION,688,0,1.049433231
1000_45_3,TRANSLOCATION,894,0,63,106,TRANSLOCATION,894,0,0.836562634
1000_45_4,TRANSLOCATION,758,0,60,242,TRANSLOCATION,758,0,0.827983856
1000_50_0,TRANSLOCATION,702,0,55,298,TRANSLOCATION,702,0,0.794300556
1000_50_1,TRANSLOCATION,685,0,49,315,TRANSLOCATION,685,0,0.717321157
1000_50_2,TRANSLOCATION,893,0,48,107,TRANSLOCATION,893,0,0.665377378
1000_50_3,TRANSLOCATION,817,0,81,183,TRANSLOCATION,817,0,1.171504021
1000_50_4,TRANSLOCATION,775,0,55,225,TRANSLOCATION,775,0,0.767834902
1000_55_0,TRANSLOCATION,942,0,67,58,TRANSLOCATION,928,0,0.971894741
1000_55_1,TRANSLOCATION,741,0,66,259,TRANSLOCATION,741,0,0.991669178
1000_55_2,TRANSLOCATION,866,0,46,134,TRANSLOCATION,866,0,0.680369854
1000_55_3,TRANSLOCATION,917,0,58,83,TRANSLOCATION,909,0,0.832055092
1000_55_4,TRANSLOCATION,728,0,61,272,TRANSLOCATION,728,0,0.912609816
1000_60_0,TRANSLOCATION,912,0,64,88,TRANSLOCATION,869,0,0.956497669
1000_60_1,TRANSLOCATION,871,0,54,129,TRANSLOCATION,871,0,0.82366991
1000_60_2,TRANSLOCATION,865,0,45,135,TRANSLOCATION,865,0,0.694588423
1000_60_3,TRANSLOCATION,933,0,60,67,TRANSLOCATION,916,0,0.909883261
1000_60_4,TRANSLOCATION,733,0,44,267,TRANSLOCATION,734,0,0.693411589
1000_65_0,TRANSLOCATION,927,0,36,73,TRANSLOCATION,927,0,0.573874474
1000_65_1,TRANSLOCATION,848,0,49,152,TRANSLOCATION,848,0,0.782098055
1000_65_2,TRANSLOCATION,711,0,36,289,TRANSLOCATION,687,0,0.58694911
1000_65_3,TRANSLOCATION,688,0,58,312,TRANSLOCATION,681,0,0.975294828
1000_65_4,TRANSLOCATION,919,0,41,81,TRANSLOCATION,915,0,0.663507223
1000_70_0,TRANSLOCATION,847,0,42,153,TRANSLOCATION,825,0,0.690861464
1000_70_1,TRANSLOCATION,801,0,35,199,TRANSLOCATION,801,0,0.590402842
1000_70_2,TRANSLOCATION,782,0,43,218,TRANSLOCATION,750,0,0.707611084
1000_70_3,TRANSLOCATION,911,0,42,89,TRANSLOCATION,870,0,0.710047245
1000_70_4,TRANSLOCATION,679,0,46,321,TRANSLOCATION,679,0,0.793381453
1000_75_0,TRANSLOCATION,790,0,37,210,TRANSLOCATION,764,0,0.636671782
1000_75_1,TRANSLOCATION,904,0,34,96,TRANSLOCATION,904,0,0.58908844
1000_75_2,TRANSLOCATION,870,0,56,130,TRANSLOCATION,870,0,0.95289588
1000_75_3,TRANSLOCATION,783,0,47,217,TRANSLOCATION,783,0,0.813905001
1000_75_4,TRANSLOCATION,886,0,37,114,TRANSLOCATION,875,0,0.633355618
1100_30_0,TRANSLOCATION,998,0,109,102,TRANSLOCATION,998,0,1.447242022
1100_30_1,TRANSLOCATION,783,0,131,317,TRANSLOCATION,783,0,1.776605368
1100_30_2,TRANSLOCATION,776,0,120,324,TRANSLOCATION,766,0,1.618774176
1100_30_3,TRANSLOCATION,746,0,121,354,TRANSLOCATION,746,0,1.619471312
1100_30_4,TRANSLOCATION,790,0,120,310,TRANSLOCATION,769,0,1.629696608
1100_35_0,TRANSLOCATION,741,0,71,359,TRANSLOCATION,741,0,1.038338423
1100_35_1,TRANSLOCATION,967,0,78,133,TRANSLOCATION,967,0,1.06981802
1100_35_2,TRANSLOCATION,802,0,78,298,TRANSLOCATION,802,0,1.091832638
1100_35_3,TRANSLOCATION,739,0,73,361,TRANSLOCATION,739,0,1.036787033
1100_35_4,TRANSLOCATION,758,0,75,342,TRANSLOCATION,758,0,1.062688112
1100_40_0,TRANSLOCATION,939,0,70,161,TRANSLOCATION,924,0,1.020177841
1100_40_1,TRANSLOCATION,1004,0,107,96,TRANSLOCATION,974,0,1.584451914
1100_40_2,TRANSLOCATION,866,0,70,234,TRANSLOCATION,866,0,1.025301456
1100_40_3,TRANSLOCATION,869,0,63,231,TRANSLOCATION,870,0,0.936017513
1100_40_4,TRANSLOCATION,1044,0,97,56,TRANSLOCATION,1025,0,1.392557859
1100_45_0,TRANSLOCATION,898,0,66,202,TRANSLOCATION,899,0,1.03437686
1100_45_1,TRANSLOCATION,959,0,60,141,TRANSLOCATION,959,0,0.931472778
