,real_type,real_start,real_end,read_count,var_size,type,start,end,time(s)
700_35_2,DELETION,101,168,115,67,DELETION,101,167,0.8288917541503906
700_35_3,DELETION,330,475,89,145,DELETION,330,473,0.6107766628265381
700_35_4,DELETION,274,424,81,150,DELETION,275,423,0.5679073333740234
700_40_0,DELETION,360,557,61,197,DELETION,360,562,0.423309326171875
700_40_1,DELETION,211,357,52,146,TRANSLOCATION,355,0,0.39663124084472656
700_40_2,DELETION,217,298,95,81,DELETION,218,297,0.7074296474456787
700_40_3,DELETION,257,443,46,186,TRANSLOCATION,458,0,0.34124279022216797
700_40_4,DELETION,243,462,49,219,TRANSLOCATION,461,0,0.36857056617736816
700_45_0,DELETION,250,298,84,48,DELETION,251,296,0.640362024307251
700_45_1,DELETION,243,443,55,200,DELETION,243,442,0.4256744384765625
700_45_2,DELETION,409,453,58,44,TRANSLOCATION,411,0,0.44051098823547363
700_45_3,DELETION,340,458,71,118,DELETION,318,458,0.5349102020263672
700_45_4,DELETION,316,400,57,84,DELETION,316,399,0.4339110851287842
700_50_0,DELETION,452,519,81,67,DELETION,450,518,0.643172025680542
700_50_1,DELETION,397,500,57,103,DELETION,397,499,0.43909597396850586
700_50_2,DELETION,285,336,79,51,DELETION,285,335,0.6340060234069824
700_50_3,DELETION,471,541,53,70,DELETION,446,540,0.4151761531829834
700_50_4,DELETION,377,564,53,187,DELETION,377,562,0.39934253692626953
700_55_0,DELETION,458,504,58,46,DELETION,426,506,0.47159290313720703
700_55_1,DELETION,339,390,46,51,DELETION,320,393,0.3811788558959961
700_55_2,DELETION,250,474,38,224,DELETION,236,471,0.3196232318878174
700_55_3,DELETION,160,349,43,189,DELETION,160,348,0.37778306007385254
700_55_4,DELETION,332,496,40,164,DELETION,302,495,0.33130574226379395
700_60_0,DELETION,249,461,25,212,DELETION,249,492,0.22492408752441406
700_60_1,DELETION,308,410,36,102,TRANSLOCATION,409,0,0.31919145584106445
700_60_2,DELETION,149,352,36,203,DELETION,149,351,0.3352940082550049
700_60_3,DELETION,156,310,35,154,TRANSLOCATION,123,0,0.32580089569091797
700_60_4,DELETION,265,479,29,214,TRANSLOCATION,253,0,0.2527647018432617
700_65_0,DELETION,203,406,25,203,TRANSLOCATION,204,0,0.23218464851379395
700_65_1,DELETION,221,316,34,95,DELETION,221,314,0.3109266757965088
700_65_2,DELETION,278,363,57,85,DELETION,278,394,0.5133068561553955
700_65_3,DELETION,323,548,31,225,DELETION,323,547,0.2675948143005371
700_65_4,DELETION,247,470,25,223,DELETION,247,469,0.22912979125976562
700_70_0,DELETION,312,531,23,219,DELETION,299,529,0.2091538906097412
700_70_1,DELETION,283,395,41,112,DELETION,254,394,0.38708972930908203
700_70_2,DELETION,389,454,35,65,DELETION,389,453,0.3222641944885254
700_70_3,DELETION,380,460,32,80,DELETION,381,459,0.29480409622192383
700_70_4,DELETION,220,406,28,186,DELETION,220,405,0.2720353603363037
700_75_0,DELETION,313,489,24,176,DELETION,314,487,0.22883296012878418
700_75_1,DELETION,179,392,25,213,DELETION,181,399,0.2574615478515625
700_75_2,DELETION,287,399,26,112,DELETION,287,398,0.2558727264404297
700_75_3,DELETION,385,524,25,139,DELETION,700,700,0.2313988208770752
700_75_4,DELETION,397,541,29,144,DELETION,398,539,0.2677760124206543
800_30_0,DELETION,385,434,122,49,DELETION,385,443,0.9805841445922852
800_30_1,DELETION,362,570,63,208,TRANSLOCATION,569,0,0.5113720893859863
800_30_2,DELETION,213,317,120,104,DELETION,213,316,1.0095899105072021
800_30_3,DELETION,327,502,95,175,DELETION,328,500,0.7723350524902344
800_30_4,DELETION,555,611,103,56,DELETION,540,609,0.8138763904571533
800_35_0,DELETION,359,490,80,131,TRANSLOCATION,338,0,0.6848094463348389
800_35_1,DELETION,258,392,64,134,TRANSLOCATION,258,0,0.550473690032959
800_35_2,DELETION,482,514,80,32,DELETION,482,513,0.6830997467041016
800_35_3,DELETION,472,634,71,162,DELETION,800,800,0.5774729251861572
800_35_4,DELETION,529,650,107,121,DELETION,529,649,0.8827810287475586
800_40_0,DELETION,144,230,66,86,DELETION,144,228,0.6118614673614502
800_40_1,DELETION,552,614,61,62,DELETION,553,628,0.5381970405578613
800_40_2,DELETION,124,352,45,228,DELETION,125,375,0.4339478015899658
800_40_3,DELETION,218,300,56,82,TRANSLOCATION,220,0,0.5150268077850342
800_40_4,DELETION,418,592,67,174,DELETION,403,591,0.5860471725463867
800_45_0,DELETION,434,507,66,73,DELETION,434,506,0.6160175800323486
800_45_1,DELETION,442,631,72,189,DELETION,442,630,0.6431369781494141
800_45_2,DELETION,604,671,88,67,DELETION,604,672,0.7942075729370117
800_45_3,DELETION,425,616,67,191,DELETION,427,615,0.59228515625
800_45_4,DELETION,358,493,76,135,DELETION,342,492,0.7113838195800781
800_50_0,DELETION,329,460,63,131,DELETION,331,459,0.626917839050293
800_50_1,DELETION,272,451,45,179,DELETION,269,478,0.4575765132904053
800_50_2,DELETION,214,357,70,143,DELETION,215,356,0.7066938877105713
800_50_3,DELETION,197,413,40,216,TRANSLOCATION,411,0,0.4067118167877197
800_50_4,DELETION,263,306,54,43,DELETION,264,320,0.5371425151824951
800_55_0,DELETION,393,646,27,253,TRANSLOCATION,394,0,0.26445555686950684
800_55_1,DELETION,334,398,48,64,DELETION,334,397,0.49253010749816895
800_55_2,DELETION,278,376,46,98,DELETION,278,394,0.5382509231567383
800_55_3,DELETION,370,619,28,249,DELETION,370,618,0.28505420684814453
800_55_4,DELETION,238,467,43,229,DELETION,236,465,0.4587972164154053
800_60_0,DELETION,374,620,25,246,TRANSLOCATION,355,0,0.25550341606140137
800_60_1,DELETION,473,542,43,69,DELETION,800,800,0.45525312423706055
800_60_2,DELETION,210,442,31,232,DELETION,210,459,0.35143589973449707
800_60_3,DELETION,429,574,48,145,DELETION,429,572,0.5088269710540771
800_60_4,DELETION,385,542,31,157,TRANSLOCATION,385,0,0.33399391174316406
800_65_0,DELETION,190,385,36,195,DELETION,190,383,0.43288421630859375
800_65_1,DELETION,336,435,39,99,DELETION,326,434,0.44654178619384766
800_65_2,DELETION,413,553,45,140,DELETION,375,552,0.4978597164154053
800_65_3,DELETION,217,454,26,237,DELETION,194,453,0.31023430824279785
800_65_4,DELETION,302,495,44,193,DELETION,304,494,0.49428606033325195
800_70_0,DELETION,541,607,42,66,DELETION,541,606,0.47550439834594727
800_70_1,DELETION,360,540,32,180,DELETION,361,537,0.37595129013061523
800_70_2,DELETION,371,615,30,244,DELETION,371,614,0.3339192867279053
800_70_3,DELETION,193,319,31,126,DELETION,196,320,0.3704493045806885
800_70_4,DELETION,324,477,31,153,TRANSLOCATION,476,0,0.36167097091674805
800_75_0,DELETION,335,522,21,187,TRANSLOCATION,335,0,0.2539057731628418
800_75_1,DELETION,396,606,28,210,DELETION,397,633,0.32446885108947754
800_75_2,DELETION,235,443,24,208,DELETION,235,442,0.3026118278503418
800_75_3,DELETION,268,468,27,200,DELETION,268,482,0.3350536823272705
800_75_4,DELETION,209,320,42,111,DELETION,174,319,0.5729935169219971
900_30_0,DELETION,453,693,72,240,DELETION,454,692,0.695380449295044
900_30_1,DELETION,460,686,78,226,DELETION,461,685,0.7254137992858887
900_30_2,DELETION,75,339,105,264,DELETION,75,338,1.1277289390563965
900_30_3,DELETION,252,524,101,272,DELETION,252,523,1.0550320148468018
900_30_4,DELETION,251,327,121,76,DELETION,251,326,1.209282398223877
900_35_0,DELETION,413,475,119,62,TRANSLOCATION,414,0,1.1997628211975098
900_35_1,DELETION,423,566,97,143,DELETION,402,562,0.9767165184020996
900_35_2,DELETION,349,539,63,190,DELETION,349,538,0.642815351486206
900_35_3,DELETION,289,391,123,102,DELETION,289,389,1.323432207107544
900_35_4,DELETION,467,586,87,119,DELETION,445,586,0.9068069458007812
900_40_0,DELETION,681,777,97,96,DELETION,681,792,1.0099201202392578
900_40_1,DELETION,114,394,54,280,DELETION,114,396,0.6424429416656494
900_40_2,DELETION,138,282,67,144,DELETION,117,281,0.805206298828125
900_40_3,DELETION,254,455,53,201,DELETION,255,460,0.5973405838012695
900_40_4,DELETION,703,760,85,57,DELETION,705,759,0.9073827266693115
900_45_0,DELETION,207,335,69,128,TRANSLOCATION,189,0,0.8300611972808838
900_45_1,DELETION,252,341,61,89,DELETION,252,354,0.7017199993133545
900_45_2,DELETION,152,206,57,54,DELETION,141,235,0.6594674587249756
900_45_3,DELETION,156,417,40,261,TRANSLOCATION,156,0,0.47481489181518555
900_45_4,DELETION,289,566,40,277,TRANSLOCATION,289,0,0.47290825843811035
900_50_0,DELETION,159,256,52,97,DELETION,159,255,0.6320323944091797
900_50_1,DELETION,518,650,54,132,DELETION,509,649,0.6254336833953857
900_50_2,DELETION,275,497,45,222,DELETION,260,496,0.5575692653656006
900_50_3,DELETION,342,473,50,131,DELETION,342,495,0.6049270629882812
900_50_4,DELETION,222,355,52,133,TRANSLOCATION,385,0,0.6342105865478516
900_55_0,DELETION,499,733,41,234,DELETION,499,732,0.47528505325317383
900_55_1,DELETION,251,325,70,74,DELETION,247,323,0.8670563697814941
900_55_2,DELETION,351,556,47,205,DELETION,351,555,0.5899198055267334
900_55_3,DELETION,375,632,36,257,DELETION,357,630,0.44868946075439453
900_55_4,DELETION,164,456,36,292,DELETION,166,474,0.49199342727661133
900_60_0,DELETION,273,385,36,112,DELETION,273,384,0.4748387336730957
900_60_1,DELETION,239,380,38,141,TRANSLOCATION,239,0,0.5130224227905273
900_60_2,DELETION,350,620,32,270,DELETION,350,618,0.4133436679840088
900_60_3,DELETION,342,520,37,178,DELETION,342,529,0.47464489936828613
900_60_4,DELETION,217,330,47,113,DELETION,216,329,0.6151740550994873
900_65_0,DELETION,212,345,39,133,DELETION,212,344,0.5316181182861328
900_65_1,DELETION,393,563,34,170,TRANSLOCATION,393,0,0.4554281234741211
900_65_2,DELETION,368,428,45,60,DELETION,334,427,0.6145036220550537
900_65_3,DELETION,234,348,41,114,DELETION,234,347,0.5774672031402588
900_65_4,DELETION,201,276,45,75,DELETION,201,275,0.6186966896057129
900_70_0,DELETION,404,689,22,285,TRANSLOCATION,687,0,0.29970502853393555
900_70_1,DELETION,458,577,28,119,TRANSLOCATION,442,0,0.4050617218017578
900_70_2,DELETION,209,437,24,228,DELETION,209,473,0.373368501663208
900_70_3,DELETION,279,490,24,211,DELETION,279,488,0.3506157398223877
900_70_4,DELETION,298,524,27,226,DELETION,299,523,0.4101097583770752
900_75_0,DELETION,265,555,25,290,DELETION,263,554,0.382887601852417
900_75_1,DELETION,500,640,29,140,TRANSLOCATION,500,0,0.41823816299438477
900_75_2,DELETION,375,674,22,299,DELETION,378,673,0.31572723388671875
900_75_3,DELETION,400,604,27,204,DELETION,400,622,0.3861682415008545
900_75_4,DELETION,274,474,29,200,TRANSLOCATION,274,0,0.44689369201660156
1000_30_0,DELETION,454,685,68,231,DELETION,454,684,0.7508482933044434
1000_30_1,DELETION,313,371,123,58,DELETION,313,384,1.4066882133483887
1000_30_2,DELETION,111,255,127,144,DELETION,99,253,1.51375150680542
1000_30_3,DELETION,547,811,96,264,DELETION,529,810,1.030855655670166
1000_30_4,DELETION,612,877,78,265,TRANSLOCATION,616,0,0.8147678375244141
1000_35_0,DELETION,627,793,67,166,DELETION,627,792,0.7866096496582031
1000_35_1,DELETION,306,609,53,303,DELETION,306,608,0.6483864784240723
1000_35_2,DELETION,320,576,76,256,TRANSLOCATION,574,0,0.915074348449707
1000_35_3,DELETION,307,400,97,93,DELETION,289,399,1.1668024063110352
1000_35_4,DELETION,317,631,73,314,DELETION,318,630,0.892305850982666
1000_40_0,DELETION,385,650,47,265,DELETION,365,649,0.5909616947174072
1000_40_1,DELETION,431,656,57,225,DELETION,431,654,0.719069242477417
1000_40_2,DELETION,336,453,73,117,DELETION,312,451,0.9286611080169678
1000_40_3,DELETION,165,396,73,231,DELETION,165,398,0.9735894203186035
1000_40_4,DELETION,271,583,54,312,TRANSLOCATION,582,0,0.7029151916503906
1000_45_0,DELETION,442,543,65,101,DELETION,442,541,0.8506402969360352
1000_45_1,DELETION,243,307,92,64,DELETION,235,306,1.2199852466583252
1000_45_2,DELETION,324,568,39,244,DELETION,324,567,0.5349092483520508
1000_45_3,DELETION,541,775,55,234,DELETION,513,779,0.7134945392608643
1000_45_4,DELETION,533,703,48,170,TRANSLOCATION,702,0,0.6471357345581055
1000_50_0,DELETION,584,669,48,85,TRANSLOCATION,671,0,0.6671638488769531
1000_50_1,DELETION,555,829,43,274,DELETION,524,828,0.5627808570861816
1000_50_2,DELETION,486,633,42,147,DELETION,481,632,0.5858607292175293
1000_50_3,DELETION,633,844,51,211,DELETION,633,871,0.6745424270629883
1000_50_4,DELETION,356,588,42,232,DELETION,356,587,0.6246800422668457
1000_55_0,DELETION,235,323,67,88,DELETION,227,340,1.023223876953125
1000_55_1,DELETION,562,672,43,110,TRANSLOCATION,671,0,0.6264657974243164
1000_55_2,DELETION,485,810,29,325,TRANSLOCATION,485,0,0.4095499515533447
1000_55_3,DELETION,685,765,59,80,DELETION,654,764,0.9344046115875244
1000_55_4,DELETION,399,618,35,219,DELETION,400,616,0.5210509300231934
1000_60_0,DELETION,315,486,35,171,DELETION,315,485,0.5517985820770264
1000_60_1,DELETION,619,742,32,123,DELETION,619,748,0.49511241912841797
1000_60_2,DELETION,288,457,42,169,DELETION,244,455,0.6817059516906738
1000_60_3,DELETION,210,490,29,280,DELETION,210,489,0.48783063888549805
1000_60_4,DELETION,287,616,24,329,TRANSLOCATION,260,0,0.37776780128479004
1000_65_0,DELETION,597,740,42,143,DELETION,597,771,0.6498651504516602
1000_65_1,DELETION,324,574,38,250,DELETION,324,571,0.620309591293335
1000_65_2,DELETION,268,416,34,148,DELETION,229,415,0.571967601776123
1000_65_3,DELETION,655,723,47,68,DELETION,655,722,0.7684788703918457
1000_65_4,DELETION,517,751,33,234,DELETION,517,772,0.5320160388946533
1000_70_0,DELETION,503,737,29,234,DELETION,480,745,0.4870305061340332
1000_70_1,DELETION,599,744,38,145,DELETION,566,743,0.6185996532440186
1000_70_2,DELETION,297,483,32,186,DELETION,297,490,0.5622515678405762
1000_70_3,DELETION,545,633,57,88,DELETION,524,632,0.9774103164672852
1000_70_4,DELETION,526,698,29,172,DELETION,526,696,0.4829559326171875
1000_75_0,DELETION,335,576,18,241,DELETION,1000,1000,0.31725215911865234
1000_75_1,DELETION,354,653,20,299,DELETION,354,652,0.35863661766052246
1000_75_2,DELETION,296,514,22,218,DELETION,293,513,0.40799808502197266
1000_75_3,DELETION,238,493,29,255,DELETION,191,492,0.5735764503479004
1000_75_4,DELETION,604,711,38,107,DELETION,582,710,0.6574602127075195
1100_30_0,DELETION,431,667,84,236,DELETION,431,676,1.1211941242218018
1100_30_1,DELETION,527,702,95,175,DELETION,527,701,1.2161977291107178
1100_30_2,DELETION,271,598,63,327,DELETION,271,596,0.8756437301635742
1100_30_3,DELETION,263,495,73,232,DELETION,264,494,0.9614048004150391
1100_30_4,DELETION,580,674,94,94,TRANSLOCATION,561,0,1.197427749633789
1100_35_0,DELETION,689,735,71,46,DELETION,690,734,0.9563934803009033
1100_35_1,DELETION,220,558,61,338,TRANSLOCATION,557,0,0.8854739665985107
1100_35_2,DELETION,135,230,70,95,DELETION,135,229,0.9878025054931641
1100_35_3,DELETION,596,830,69,234,DELETION,596,847,0.9218084812164307
1100_35_4,DELETION,620,772,83,152,DELETION,621,771,1.132544994354248
1100_40_0,DELETION,352,653,44,301,DELETION,352,666,0.6498713493347168
1100_40_1,DELETION,542,842,59,300,DELETION,514,840,0.8148481845855713
1100_40_2,DELETION,347,570,55,223,DELETION,347,568,0.81988525390625
1100_40_3,DELETION,225,570,62,345,DELETION,225,584,0.9491066932678223
1100_40_4,DELETION,614,972,42,358,DELETION,610,971,0.5471677780151367
1100_45_0,DELETION,741,839,52,98,DELETION,741,838,0.7754526138305664
1100_45_1,DELETION,612,795,52,183,DELETION,612,829,0.7852816581726074
1100_45_2,DELETION,163,413,55,250,DELETION,163,434,0.9036335945129395
1100_45_3,DELETION,463,658,56,195,DELETION,444,655,0.8507480621337891
1100_45_4,DELETION,639,747,60,108,DELETION,639,745,0.880885124206543
1100_50_0,DELETION,447,772,44,325,DELETION,450,771,0.7011525630950928
1100_50_1,DELETION,601,712,54,111,DELETION,601,711,0.8520610332489014
1100_50_2,DELETION,292,440,77,148,DELETION,288,439,1.2452518939971924
1100_50_3,DELETION,692,840,54,148,DELETION,658,838,0.8386528491973877
1100_50_4,DELETION,630,799,53,169,DELETION,630,798,0.8411831855773926
1100_55_0,DELETION,389,748,31,359,DELETION,369,777,0.5227293968200684
1100_55_1,DELETION,354,438,72,84,DELETION,354,437,1.213897943496704
1100_55_2,DELETION,517,825,43,308,DELETION,517,824,0.7155182361602783
1100_55_3,DELETION,213,416,48,203,DELETION,213,415,0.8370997905731201
1100_55_4,DELETION,677,744,51,67,DELETION,677,743,0.8576169013977051
1100_60_0,DELETION,433,737,38,304,DELETION,424,736,0.6960020065307617
1100_60_1,DELETION,725,854,61,129,DELETION,683,870,1.03767991065979
1100_60_2,DELETION,480,822,30,342,TRANSLOCATION,820,0,0.5052261352539062
1100_60_3,DELETION,226,493,46,267,DELETION,179,492,0.8422141075134277
1100_60_4,DELETION,327,622,35,295,DELETION,327,624,0.6368656158447266
1100_65_0,DELETION,573,828,33,255,DELETION,573,827,0.590238094329834
1100_65_1,DELETION,332,613,31,281,DELETION,332,650,0.5825760364532471
1100_65_2,DELETION,350,671,27,321,DELETION,350,670,0.5125143527984619
1100_65_3,DELETION,319,470,34,151,TRANSLOCATION,319,0,0.6585409641265869
1100_65_4,DELETION,524,882,33,358,DELETION,524,881,0.5591621398925781
1100_70_0,DELETION,403,713,25,310,DELETION,403,769,0.48914575576782227
1100_70_1,DELETION,245,408,32,163,DELETION,218,444,0.6418700218200684
1100_70_2,DELETION,566,850,28,284,DELETION,564,849,0.5188839435577393
1100_70_3,DELETION,404,659,23,255,TRANSLOCATION,658,0,0.4513382911682129
1100_70_4,DELETION,488,664,33,176,DELETION,1100,1100,0.6428346633911133
1100_75_0,DELETION,361,637,25,276,DELETION,361,635,0.5070135593414307
1100_75_1,DELETION,545,804,31,259,DELETION,542,802,0.5897293090820312
1100_75_2,DELETION,454,541,36,87,TRANSLOCATION,538,0,0.7138051986694336
1100_75_3,DELETION,395,617,27,222,DELETION,396,630,0.5367820262908936
1100_75_4,DELETION,498,701,23,203,DELETION,498,698,0.44701695442199707
1200_30_0,DELETION,613,779,95,166,DELETION,614,778,1.351820707321167
1200_30_1,DELETION,657,779,101,122,DELETION,657,798,1.4607865810394287
1200_30_2,DELETION,247,566,80,319,DELETION,247,565,1.217514991760254
1200_30_3,DELETION,832,897,132,65,DELETION,832,896,1.8912904262542725
1200_30_4,DELETION,716,1008,74,292,TRANSLOCATION,1007,0,1.024444580078125
1200_35_0,DELETION,723,890,74,167,DELETION,723,893,1.1403591632843018
1200_35_1,DELETION,517,874,45,357,DELETION,506,873,0.6803336143493652
1200_35_2,DELETION,486,769,82,283,DELETION,474,793,1.2503743171691895
1200_35_3,DELETION,699,1013,78,314,DELETION,684,1012,1.1491625308990479
1200_35_4,DELETION,282,539,113,257,DELETION,282,538,1.9617183208465576
1200_40_0,DELETION,251,310,71,59,DELETION,252,309,1.1742923259735107
1200_40_1,DELETION,840,1040,57,200,TRANSLOCATION,1039,0,0.9492614269256592
1200_40_2,DELETION,215,469,59,254,TRANSLOCATION,197,0,1.0445055961608887
1200_40_3,DELETION,406,789,45,383,DELETION,401,787,0.755401611328125
1200_40_4,DELETION,211,499,68,288,TRANSLOCATION,201,0,1.2366328239440918
